# file...... Output/hvac/house_hvac_file_020.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_7A_tm_2_A_7_Meter_46_381:hvac_load,house_2_8A_tm_2_A_8_Meter_46_382:hvac_load,house_2_1A_tm_2_A_1_Meter_47_383:hvac_load,house_2_2A_tm_2_A_2_Meter_47_384:hvac_load,house_2_3A_tm_2_A_3_Meter_47_385:hvac_load,house_2_4A_tm_2_A_4_Meter_47_386:hvac_load,house_2_5A_tm_2_A_5_Meter_47_387:hvac_load,house_2_6A_tm_2_A_6_Meter_47_388:hvac_load,house_2_7A_tm_2_A_7_Meter_47_389:hvac_load,house_2_8A_tm_2_A_8_Meter_47_390:hvac_load,house_2_9A_tm_2_A_9_Meter_47_391:hvac_load,house_2_10A_tm_2_A_10_Meter_47_392:hvac_load,house_2_11A_tm_2_A_11_Meter_47_393:hvac_load,house_2_12A_tm_2_A_12_Meter_47_394:hvac_load,house_2_13A_tm_2_A_13_Meter_47_395:hvac_load,house_2_14A_tm_2_A_14_Meter_47_396:hvac_load,house_2_15A_tm_2_A_15_Meter_47_397:hvac_load,house_2_1B_tm_2_B_1_Meter_47_398:hvac_load,house_2_2B_tm_2_B_2_Meter_47_399:hvac_load,house_2_3B_tm_2_B_3_Meter_47_400:hvac_load
2010-08-16 18:53:00 UTC,+5.56582699573,+0,+5.99464811077,+0,+2.99756250784,+4.28198269521,+2.99753624746,+0,+6.42185798165,+0,+4.70973453751,+0,+2.14118990138,+0,+0,+0,+4.28197344337,+5.16704920011,+2.58362050238,+3.01419018011
2010-08-16 18:53:30 UTC,+5.56916699104,+0,+5.99822269305,+0,+2.99934996248,+4.28453601288,+2.9993236774,+0,+6.42568713038,+0,+4.71254280726,+0,+2.14246670843,+0,+0,+0,+4.28452675062,+5.16545472269,+2.58282323239,+3.01326004688
2010-08-16 18:54:00 UTC,+5.57113746247,+0,+6.00008871932,+0,+3.00028306096,+4.28586891209,+3.00025676299,+4.71460233984,+6.42768604717,+2.14316391691,+4.71400879824,+0,+2.14313323538,+0,+0,+0,+4.28585964439,+5.16608305581,+2.58313741128,+3.01362658297
2010-08-16 18:54:30 UTC,+5.5701345754,+0,+5.99878902879,+0,+2.99963315625,+4.28494054548,+2.99960686726,+4.71358109361,+6.42629379815,+2.14269967191,+4.71298773297,+0,+2.1426689982,+3.42808499147,+0,+0,+4.28493128157,+0,+2.58430338327,+3.01498686157
2010-08-16 18:55:00 UTC,+5.57707621924,+0,+6.00660346769,+0,+3.00354073315,+4.29052238522,+3.0035143902,+4.71972137558,+6.43466474857,+2.14549096273,+4.71912692712,+0,+2.145460242,+3.4325506692,+0,+0,+4.29051309856,+0,+2.58271571155,+3.01313460793
2010-08-16 18:55:30 UTC,+5.58530719491,+2.1484609553,+6.01454856183,+0,+3.00751364362,+4.29619755191,+0,+4.72596432135,+6.44317565975,+2.14832892311,+4.7253687677,+1.2890878191,+2.14829815458,+3.4370910119,+0,+0,+0,+0,+2.57912299069,+3.00894316827
2010-08-16 18:56:00 UTC,+5.58496648048,+2.1483298906,+6.01446685179,+0,+3.00747278486,+4.29613918657,+0,+4.72590011678,+6.44308813065,+2.14829973656,+4.72530457449,+1.28907030539,+2.14826896853,+3.43704431748,+0,+0,+0,+0,+2.58054671542,+3.0106041535
2010-08-16 18:56:30 UTC,+5.57977757745,+2.14633384363,+6.00863301398,+0,+3.00455559912,+4.29197208653,+0,+4.72131611406,+6.43683883079,+2.1462159097,+4.72072138323,+1.2878198821,+0,+3.43371048373,+3.8631671012,+0,+0,+0,+2.58408294763,+3.01472969082
2010-08-16 18:57:00 UTC,+5.57964576178,+2.14628313728,+6.00810642189,+0,+3.00429227898,+4.29159594273,+0,+4.72090233849,+6.43627473699,+2.14602781281,+0,+1.28770701248,+0,+3.43340955481,+3.86282852558,+6.00780366886,+0,+0,+2.58355250064,+0
2010-08-16 18:57:30 UTC,+5.5814113031,+2.14696229885,+6.01021716394,+0,+0,+4.29310364204,+0,+4.72256087745,+6.43853579734,+2.14678176264,+0,+1.28815942841,+0,+3.43461576988,+3.86418564012,+6.00991425084,+0,+0,+2.58181191054,+0
2010-08-16 18:58:00 UTC,+0,+2.14698843889,+0,+5.1511244359,+0,+4.29300805152,+0,+4.72245572346,+6.43839244252,+2.14673396104,+0,+1.28813074453,+0,+3.43453929394,+3.86409959692,+6.0097804366,+0,+0,+2.58123042191,+0
2010-08-16 18:58:30 UTC,+0,+2.14588495608,+0,+5.14839170631,+0,+4.29073048284,+0,+4.71995029259,+6.43497682754,+2.14559502537,+0,+0,+0,+3.43271715497,+3.86204950541,+6.0065921381,+0,+0,+2.58212667703,+0
2010-08-16 18:59:00 UTC,+0,+2.14665038754,+0,+5.15078193297,+0,+0,+0,+4.7221417087,+6.43796435111,+2.14659121408,+0,+0,+2.14656047482,+3.43431091863,+3.86384265149,+6.00938083557,+0,+5.17295262711,+0,+0
2010-08-16 18:59:30 UTC,+0,+0,+0,+5.15008078992,+0,+0,+3.00464555256,+4.72149888422,+6.4370879985,+2.14629899459,+0,+0,+2.14626826026,+0,+3.86331665454,+6.00856280609,+0,+5.17430086572,+0,+0
2010-08-16 19:00:00 UTC,+0,+0,+0,+5.14979755011,+0,+0,+3.00448029805,+4.72123920328,+6.43673397955,+2.14618094707,+0,+0,+2.14615021473,+0,+3.86310416824,+6.00823234783,+0,+5.17541320699,+0,+0
2010-08-16 19:00:30 UTC,+0,+0,+0,+5.14694091484,+0,+0,+3.00281361203,+4.7186201727,+6.4331634959,+0,+0,+1.28715122649,+2.1449596582,+0,+3.86096112274,+6.00489948751,+0,+5.17018142727,+0,+0
2010-08-16 19:01:00 UTC,+0,+0,+0,+5.14070489315,+0,+0,+2.99917524388,+4.71290284057,+6.42536914637,+0,+0,+1.28552491092,+2.14236067856,+0,+3.85628537464,+5.99762386852,+4.28431471635,+5.17100819625,+0,+3.0164996477
2010-08-16 19:01:30 UTC,+5.56042485951,+0,+5.987495622,+5.13176569809,+2.99398593628,+0,+2.99395972537,+4.7047071741,+6.41419612372,+0,+0,+1.28328929822,+2.13863509987,+0,+3.84957918666,+5.98719443394,+4.2768644545,+5.17607361146,+0,+3.01945454133
2010-08-16 19:02:00 UTC,+5.55811422378,+2.13800046828,+5.98539888353,+5.12996869478,+2.99293747112,+0,+2.99291127473,+4.70305963861,+6.41195006479,+0,+0,+1.28283988369,+2.13788616465,+0,+3.84823107381,+5.9850978549,+4.27536676416,+5.1773853037,+0,+3.02021971277
