# file...... Output/hvac/house_hvac_file_006.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_9A_tm_0_A_9_Meter_11_101:hvac_load,house_0_10A_tm_0_A_10_Meter_11_102:hvac_load,house_0_11A_tm_0_A_11_Meter_11_103:hvac_load,house_0_12A_tm_0_A_12_Meter_11_104:hvac_load,house_0_13A_tm_0_A_13_Meter_11_105:hvac_load,house_0_14A_tm_0_A_14_Meter_11_106:hvac_load,house_0_15A_tm_0_A_15_Meter_11_107:hvac_load,house_0_1B_tm_0_B_1_Meter_12_108:hvac_load,house_0_2B_tm_0_B_2_Meter_12_109:hvac_load,house_0_3B_tm_0_B_3_Meter_12_110:hvac_load,house_0_4B_tm_0_B_4_Meter_12_111:hvac_load,house_0_5B_tm_0_B_5_Meter_12_112:hvac_load,house_0_6B_tm_0_B_6_Meter_12_113:hvac_load,house_0_7B_tm_0_B_7_Meter_12_114:hvac_load,house_0_8B_tm_0_B_8_Meter_12_115:hvac_load,house_0_1C_tm_0_C_1_Meter_16_116:hvac_load,house_0_2C_tm_0_C_2_Meter_16_117:hvac_load,house_0_3C_tm_0_C_3_Meter_16_118:hvac_load,house_0_4C_tm_0_C_4_Meter_16_119:hvac_load,house_0_5C_tm_0_C_5_Meter_16_120:hvac_load
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31642070132,+0,+0,+0,+0,+0,+6.4767882771,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3160017365,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31613012436,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.31527166677,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+6.05568529873,+0,+0,+0,+0,+0,+0,+4.31507792559,+0,+0,+0,+0,+5.60877306898,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+6.05735233039,+0,+0,+0,+0,+0,+0,+4.31313822099,+0,+0,+0,+0,+5.61057964373,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+6.0565122268,+0,+0,+0,+0,+0,+3.45087587888,+4.31365126457,+0,+0,+0,+0,+5.61199448416,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+6.05650538053,+0,+0,+0,+0,+0,+3.45152353697,+0,+0,+0,+0,+0,+5.61018870166,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+6.05707730465,+0,+0,+0,+0,+0,+3.45235682389,+0,+0,+0,+0,+4.3136919157,+5.60707316965,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+6.05589943199,+0,+0,+0,+0,+0,+3.45284794121,+0,+0,+0,+0,+4.31462096774,+5.60828074045,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+6.05581575291,+0,+0,+0,+0,+0,+3.45272414184,+0,+0,+0,+0,+4.31477599594,+5.60848224425,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+6.05584973021,+0,+1.7305469122,+0,+0,+0,+3.45212733201,+0,+0,+5.17766543151,+0,+4.31463267891,+5.6082959625,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+6.05599974779,+0,+0,+0,+1.73053788354,+0,+0,+0,+0,+0,+6.0408864299,+5.1772847116,+0,+4.31526264255,+5.60911478171,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+3.89161990054,+6.05360313261,+0,+0,+3.89196356009,+1.72985301208,+0,+0,+0,+0,+0,+6.0431206029,+5.17919941181,+0,+4.31352594788,+5.60685744664,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+3.89300791973,+6.05576227389,+0,+0,+3.8933517359,+1.73047002154,+0,+0,+0,+0,+0,+6.0413388746,+5.17767245953,+0,+4.31411909405,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+3.89209814675,+6.05434707127,+0,+0,+3.89244186027,+0,+0,+0,+0,+0,+0,+6.04267975983,+5.17882160655,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+3.89396923071,+6.05725764675,+0,+0,+3.89431315538,+0,+0,+0,+0,+0,+0,+6.04089740142,+5.17729411428,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+3.89375267775,+6.05692078653,+0,+0,+3.89409657798,+0,+0,+0,+0,+0,+0,+6.0417018137,+5.17798350062,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+3.89248718731,+6.05495224557,+0,+0,+3.89283094473,+0,+0,+0,+0,+0,+0,+6.04293370772,+5.17903924148,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+3.89218050337,+6.05447518159,+0,+0,+3.89252422619,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+3.89276918864,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+4.32489625276,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+4.32342335203,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+4.32301511248,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+4.3239893534,+0,+0,+0,+0,+1.29464637639,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+1.2949182637,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.61243787956,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+1.29523711995,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.60890671388,+0
