# file...... Output/hvac/house_hvac_file_030.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_8C_tm_2_C_8_Meter_50_581:hvac_load,house_2_9C_tm_2_C_9_Meter_50_582:hvac_load,house_2_10C_tm_2_C_10_Meter_50_583:hvac_load,house_2_11C_tm_2_C_11_Meter_50_584:hvac_load,house_2_12C_tm_2_C_12_Meter_50_585:hvac_load,house_2_13C_tm_2_C_13_Meter_50_586:hvac_load,house_2_14C_tm_2_C_14_Meter_50_587:hvac_load,house_2_15C_tm_2_C_15_Meter_50_588:hvac_load,house_2_1A_tm_2_A_1_Meter_51_589:hvac_load,house_2_2A_tm_2_A_2_Meter_51_590:hvac_load,house_2_3A_tm_2_A_3_Meter_51_591:hvac_load,house_2_4A_tm_2_A_4_Meter_51_592:hvac_load,house_2_5A_tm_2_A_5_Meter_51_593:hvac_load,house_2_6A_tm_2_A_6_Meter_51_594:hvac_load,house_2_7A_tm_2_A_7_Meter_51_595:hvac_load,house_2_8A_tm_2_A_8_Meter_51_596:hvac_load,house_0_1A_tm_0_A_1_Meter_52_597:hvac_load,house_0_2A_tm_0_A_2_Meter_52_598:hvac_load,house_0_3A_tm_0_A_3_Meter_52_599:hvac_load,house_0_4A_tm_0_A_4_Meter_52_600:hvac_load
2010-08-16 00:40:30 UTC,+0,+0,+0,+5.16945094244,+0,+0,+4.30798095895,+0,+0,+0,+1.72424840924,+0,+0,+0,+5.17198362741,+0,+0,+0,+0,+5.18011714848
2010-08-16 00:41:00 UTC,+0,+0,+0,+5.16854955088,+0,+0,+4.30722977739,+0,+0,+0,+1.72411836514,+0,+0,+0,+5.17159356674,+0,+0,+0,+0,+5.18101636046
2010-08-16 00:41:30 UTC,+0,+0,+0,+5.16928730102,+0,+0,+0,+0,+0,+0,+1.72365728896,+0,+0,+0,+5.1702105923,+0,+0,+0,+0,+5.17983661358
2010-08-16 00:42:00 UTC,+0,+0,+0,+5.16678292749,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16803532888,+0,+0,+0,+0,+5.17830432654
2010-08-16 00:42:30 UTC,+0,+0,+0,+5.1676885176,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17003986509,+0,+0,+0,+5.18062543746,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17852372331,+0
2010-08-16 00:43:30 UTC,+5.59815349143,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18185051455,+0
2010-08-16 00:44:00 UTC,+5.5946326244,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.18081420525,+0
2010-08-16 00:44:30 UTC,+5.59401322428,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17924332839,+0
2010-08-16 00:45:00 UTC,+5.59511321484,+5.16421647063,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.1789528363,+0
