# file...... Output/hvac/house_hvac_file_025.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_25B_tm_2_B_25_Meter_48_481:hvac_load,house_2_26B_tm_2_B_26_Meter_48_482:hvac_load,house_2_27B_tm_2_B_27_Meter_48_483:hvac_load,house_2_28B_tm_2_B_28_Meter_48_484:hvac_load,house_2_29B_tm_2_B_29_Meter_48_485:hvac_load,house_2_1C_tm_2_C_1_Meter_48_486:hvac_load,house_2_2C_tm_2_C_2_Meter_48_487:hvac_load,house_2_3C_tm_2_C_3_Meter_48_488:hvac_load,house_2_4C_tm_2_C_4_Meter_48_489:hvac_load,house_2_5C_tm_2_C_5_Meter_48_490:hvac_load,house_2_6C_tm_2_C_6_Meter_48_491:hvac_load,house_2_7C_tm_2_C_7_Meter_48_492:hvac_load,house_2_8C_tm_2_C_8_Meter_48_493:hvac_load,house_2_9C_tm_2_C_9_Meter_48_494:hvac_load,house_2_10C_tm_2_C_10_Meter_48_495:hvac_load,house_2_11C_tm_2_C_11_Meter_48_496:hvac_load,house_2_12C_tm_2_C_12_Meter_48_497:hvac_load,house_2_13C_tm_2_C_13_Meter_48_498:hvac_load,house_2_14C_tm_2_C_14_Meter_48_499:hvac_load,house_2_15C_tm_2_C_15_Meter_48_500:hvac_load
2010-08-16 00:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.15644566096,+0,+0,+0,+0,+3.45022905915,+0,+0,+0,+0,+0
2010-08-16 00:31:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44936983442,+0,+0,+0,+0,+0
2010-08-16 00:32:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44670183914,+0,+0,+0,+0,+0
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+3.88238516687,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+3.88154418803,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17144974963,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+3.88139223205,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.16992367384,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+3.88203230005,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.17265177971,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+3.88066488629,+0,+0,+0,+0,+0,+0,+3.01821766561,+0,+0,+0,+0,+1.72473978769,+5.1732986145,+1.29359021897,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+3.87934363036,+0,+0,+0,+0,+0,+0,+3.01719952839,+0,+0,+0,+0,+1.72415797815,+5.17155357381,+1.29315384699,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+3.87817955265,+0,+0,+0,+0,+0,+0,+3.01667195182,+0,+0,+0,+0,+1.7238564971,+5.17064933166,+1.29292772851,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+3.87674591754,+0,+0,+0,+0,+0,+0,+3.01680623068,+5.171397792,+0,+0,+0,+1.7239332301,+5.1708794795,+1.29298528022,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01504865306,+5.16838499166,+0,+0,+0,+1.72292887096,+5.16786707178,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01711486778,+5.17192685082,+0,+0,+0,+0,+5.17140846938,+0,+0,+1.72412743775
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+2.15565462872,+0,+0,+0,+3.0178300574,+5.17315281292,+0,+0,+0,+0,+0,+0,+0,+1.72453613461
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+2.15533758211,+0,+0,+0,+0,+5.17239197347,+0,+0,+0,+0,+0,+0,+0,+1.72428249488
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+2.15410468896,+0,+0,+0,+0,+5.1694333115,+0,+0,+0,+0,+0,+0,+0,+1.72329617086
2010-08-16 00:40:00 UTC,+4.73960182888,+0,+0,+0,+0,+5.16994858205,+2.15457143179,+0,+0,+0,+0,+5.17055338771,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+4.73996551962,+0,+0,+0,+0,+5.16932995677,+0,+4.73880467498,+0,+0,+0,+5.16993466746,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+4.74026987819,+0,+0,+0,+0,+5.1688316591,+0,+4.73834787286,+0,+0,+0,+5.16943629325,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+4.74091645138,+0,+0,+0,+0,+5.16961665249,+0,+4.73906749621,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+4.74348789096,+0,+0,+0,+0,+5.16692393234,+0,+4.73659901139,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+4.74177882531,+0,+0,+0,+3.01778170778,+5.16770781321,+0,+4.73731761486,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+4.74375179531,+0,+0,+0,+3.01903738374,+5.16797279346,+0,+4.73756052899,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+3.01728588201,+5.16785915472,+0,+4.73745635345,+0,+2.153605394,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+3.01705098895,+0,+0,+4.73474965164,+0,+2.15237491461,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+3.01818331467,+0,+0,+0,+0,+2.15215584583,+0,+0,+0,+0,+3.4433655594,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+3.01757829333,+0,+0,+0,+0,+2.15257319658,+0,+0,+0,+0,+3.4440333007,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.44676510787,+0,+0,+0,+0,+0
