# file...... Output/hvac/house_hvac_file_013.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13C_tm_1_C_13_Meter_30_241:hvac_load,house_1_14C_tm_1_C_14_Meter_30_242:hvac_load,house_1_15C_tm_1_C_15_Meter_30_243:hvac_load,house_1_1C_tm_1_C_1_Meter_31_244:hvac_load,house_1_2C_tm_1_C_2_Meter_31_245:hvac_load,house_1_3C_tm_1_C_3_Meter_31_246:hvac_load,house_1_4C_tm_1_C_4_Meter_31_247:hvac_load,house_1_5C_tm_1_C_5_Meter_31_248:hvac_load,house_1_6C_tm_1_C_6_Meter_31_249:hvac_load,house_1_7C_tm_1_C_7_Meter_31_250:hvac_load,house_1_8C_tm_1_C_8_Meter_31_251:hvac_load,house_1_1C_tm_1_C_1_Meter_32_252:hvac_load,house_1_2C_tm_1_C_2_Meter_32_253:hvac_load,house_1_3C_tm_1_C_3_Meter_32_254:hvac_load,house_1_4C_tm_1_C_4_Meter_32_255:hvac_load,house_1_5C_tm_1_C_5_Meter_32_256:hvac_load,house_1_6C_tm_1_C_6_Meter_32_257:hvac_load,house_1_7C_tm_1_C_7_Meter_32_258:hvac_load,house_1_8C_tm_1_C_8_Meter_32_259:hvac_load,house_1_1A_tm_1_A_1_Meter_33_260:hvac_load
2010-08-16 00:51:00 UTC,+5.60126948041,+4.30914768796,+0,+0,+5.61584103483,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29623830467,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+5.60379083494,+4.31108746143,+0,+0,+5.61802290111,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+1.29674194178,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+5.60238742686,+4.31000776648,+0,+0,+5.6164815299,+0,+0,+0,+0,+0,+0,+2.59255439644,+0,+0,+0,+1.29634180465,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+5.60107443742,+4.308997634,+0,+0,+5.61521714447,+0,+0,+0,+0,+0,+0,+2.59201507887,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.59544417994,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+2.16197683267,+0,+0,+0,+0,+0,+0,+0,+2.59416569497,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+2.16062756873,+0,+0,+0,+0,+0,+0,+0,+2.59235462074,+5.61568194894,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+2.16041746553,+0,+0,+0,+0,+0,+0,+0,+0,+5.61532803851,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+2.15855984822,+0,+0,+0,+0,+4.74807693458,+0,+0,+0,+5.6106563442,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.74857410281,+0,+0,+0,+5.61117287803,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+3.88480312952,+0,+0,+4.74794190775,+0,+0,+0,+5.61055351835,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+3.88678666402,+0,+0,+4.75036613306,+0,+0,+0,+5.61322605646,+0,+0,+0,+0,+0,+2.59117033268,+0
