# file...... Output/hvac/house_hvac_file_056.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4B_tm_3_B_4_Meter_95_1101:hvac_load,house_3_5B_tm_3_B_5_Meter_95_1102:hvac_load,house_3_6B_tm_3_B_6_Meter_95_1103:hvac_load,house_3_7B_tm_3_B_7_Meter_95_1104:hvac_load,house_3_8B_tm_3_B_8_Meter_95_1105:hvac_load,house_3_1B_tm_3_B_1_Meter_96_1106:hvac_load,house_3_2B_tm_3_B_2_Meter_96_1107:hvac_load,house_3_3B_tm_3_B_3_Meter_96_1108:hvac_load,house_3_4B_tm_3_B_4_Meter_96_1109:hvac_load,house_3_5B_tm_3_B_5_Meter_96_1110:hvac_load,house_3_6B_tm_3_B_6_Meter_96_1111:hvac_load,house_3_7B_tm_3_B_7_Meter_96_1112:hvac_load,house_3_8B_tm_3_B_8_Meter_96_1113:hvac_load,house_3_1A_tm_3_A_1_Meter_98_1114:hvac_load,house_3_2A_tm_3_A_2_Meter_98_1115:hvac_load,house_3_3A_tm_3_A_3_Meter_98_1116:hvac_load,house_3_4A_tm_3_A_4_Meter_98_1117:hvac_load,house_3_5A_tm_3_A_5_Meter_98_1118:hvac_load,house_3_6A_tm_3_A_6_Meter_98_1119:hvac_load,house_3_7A_tm_3_A_7_Meter_98_1120:hvac_load
2010-08-16 10:09:00 UTC,+6.06853353425,+2.16759570093,+0,+0,+3.9013422522,+0,+5.6333896795,+0,+0,+5.20044940295,+0,+4.33376282369,+6.06677272207,+4.32067235464,+0,+3.02464855137,+4.32048301098,+4.75246381204,+5.61646753198,+4.75208875533
2010-08-16 10:09:30 UTC,+6.06362781572,+0,+0,+0,+3.89818845393,+0,+5.62876506591,+0,+0,+5.19618013656,+0,+4.33020502293,+6.06179230075,+4.32906951281,+0,+3.0305270073,+4.32887968995,+4.7617000511,+5.62738288417,+4.76132395572
2010-08-16 10:10:00 UTC,+6.06691292049,+0,+0,+0,+3.90030038874,+0,+5.63181438103,+0,+0,+5.19899514766,+0,+4.33255091746,+6.06507622356,+4.32581060084,+4.75815397722,+0,+4.32562096392,+4.75811549433,+5.62314666859,+4.7577398019
2010-08-16 10:10:30 UTC,+0,+0,+0,+0,+0,+0,+5.6237900596,+0,+0,+5.19158740103,+0,+4.32637765852,+6.05643452818,+4.32869001756,+4.76132114346,+0,+4.32850021636,+4.76128263503,+5.62688958344,+4.76090658657
2010-08-16 10:11:00 UTC,+0,+0,+5.62555515955,+1.73109480797,+0,+0,+5.62384097912,+0,+0,+5.19163440799,+0,+4.32641683186,+6.05648936533,+4.3319571793,+4.76491480336,+0,+4.33176719174,+4.76487626595,+5.63113652284,+4.76449981368
2010-08-16 10:11:30 UTC,+0,+0,+5.62841705819,+1.73197549007,+0,+6.05959843549,+0,+0,+1.73182281661,+0,+0,+4.32875887885,+6.05976790216,+4.33917877706,+4.77285807911,+0,+4.33898837775,+0,+5.64052378029,+4.77244213331
2010-08-16 10:12:00 UTC,+0,+0,+5.62912882524,+1.73219451967,+0,+6.06036402067,+0,+0,+1.73204163927,+0,+0,+4.32929998852,+6.06053352339,+4.34671315071,+4.7811453876,+0,+4.34652232207,+0,+5.65031761111,+4.78072844513
2010-08-16 10:12:30 UTC,+0,+2.16586062097,+5.63074613775,+1.73269220962,+0,+6.06196737938,+0,+3.0314847456,+1.73250348513,+0,+0,+4.33045432684,+6.0621494392,+4.35520610803,+4.79048707439,+0,+4.35501479576,+0,+5.66135749224,+4.79006900949
2010-08-16 10:13:00 UTC,+0,+2.16542496949,+5.62961356794,+1.73234368786,+0,+6.06077647195,+0,+3.03088916429,+1.73216309377,+0,+3.89679570479,+0,+6.06095847082,+0,+4.79545440679,+0,+0,+0,+5.66722781957,+0
2010-08-16 10:13:30 UTC,+0,+2.16491329508,+5.62828336015,+0,+0,+6.05935996537,+0,+3.03018075921,+1.73175822046,+0,+3.89588491216,+0,+6.05954189173,+0,+4.79678486996,+3.05283224162,+0,+0,+5.66880014325,+0
2010-08-16 10:14:00 UTC,+0,+2.16494190863,+5.62835774725,+0,+0,+6.05983487621,+0,+3.03041826551,+1.73189396194,+0,+3.89619027274,+0,+0,+0,+4.79602784849,+3.05235043513,+0,+0,+5.66790550533,+0
2010-08-16 10:14:30 UTC,+0,+2.16348157936,+5.62456130701,+0,+0,+6.05574778806,+0,+3.02837428342,+1.73072576898,+0,+3.89356233585,+0,+0,+0,+4.80065896971,+3.05529791345,+0,+0,+5.67337850279,+0
2010-08-16 10:15:00 UTC,+0,+2.16631362936,+5.63192383061,+0,+0,+6.0636739724,+0,+3.03233822493,+1.73299127242,+0,+3.89865875433,+0,+0,+0,+0,+3.05486143475,+0,+0,+5.6725680314,+0
2010-08-16 10:15:30 UTC,+0,+2.16441329364,+5.62698349876,+0,+3.89561704046,+6.05849372509,+0,+3.02974754626,+1.73151062714,+0,+3.89532793257,+0,+0,+0,+0,+3.05413948028,+0,+0,+5.67122747706,+0
2010-08-16 10:16:00 UTC,+0,+0,+5.62530448986,+1.73101767025,+3.89445465287,+6.05678342371,+0,+3.02889221224,+0,+0,+3.89422823419,+0,+0,+0,+0,+3.05648693344,+0,+4.80248833409,+5.67558632345,+0
2010-08-16 10:16:30 UTC,+6.0544833788,+0,+5.62221232732,+1.73006612983,+3.89231393087,+6.05304232765,+5.62080883116,+3.02702126329,+0,+0,+3.89182276506,+0,+0,+0,+0,+3.05507895265,+0,+4.80027611195,+0,+0
2010-08-16 10:17:00 UTC,+6.05808502217,+0,+0,+1.73109533012,+3.89462936766,+6.05630029035,+5.62383419572,+0,+0,+5.19161990382,+3.89391758665,+0,+0,+4.35890727925,+0,+3.05141502347,+0,+4.79451933914,+0,+0
2010-08-16 10:17:30 UTC,+6.0538949951,+0,+0,+1.72989799414,+3.89193566873,+6.05183066279,+5.61968367157,+0,+0,+5.18778831073,+3.89104368248,+4.32321273686,+0,+4.35427300215,+0,+0,+0,+4.78942198447,+0,+0
2010-08-16 10:18:00 UTC,+6.05245916106,+0,+0,+0,+3.89101259484,+6.0503342941,+5.61829413421,+0,+0,+5.18650554704,+3.89008153961,+4.32214374288,+0,+4.35493532498,+0,+0,+0,+4.79015048955,+0,+0
2010-08-16 10:18:30 UTC,+6.05944206737,+0,+0,+0,+3.89550178951,+6.05709842096,+5.62457534478,+0,+0,+5.19230410213,+3.89443077275,+4.32697598163,+0,+4.34900394874,+0,+0,+4.34881298962,+4.78362642388,+0,+4.78324786734
2010-08-16 10:19:00 UTC,+6.05073313744,+2.16123844956,+0,+0,+3.88990296289,+6.04815420855,+5.61626969306,+0,+0,+5.18463666629,+3.8886797769,+4.32058630693,+6.0483257533,+4.33920821805,+4.77288521203,+0,+4.33901781706,+4.77285186045,+0,+4.77247451254
2010-08-16 10:19:30 UTC,+6.05754386186,+2.16367122376,+0,+0,+3.89428146466,+6.05484757757,+5.62248519754,+0,+1.7304684661,+5.19037456422,+3.8929835139,+4.32536799694,+6.05501944375,+4.33032173779,+4.76311069797,+0,+4.33013184354,+4.76307740397,+0,+4.76270115386
