# file...... Output/hvac/house_hvac_file_060.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_15C_tm_3_C_15_Meter_103_1181:hvac_load,house_3_1C_tm_3_C_1_Meter_104_1182:hvac_load,house_3_2C_tm_3_C_2_Meter_104_1183:hvac_load,house_3_3C_tm_3_C_3_Meter_104_1184:hvac_load,house_3_4C_tm_3_C_4_Meter_104_1185:hvac_load,house_3_5C_tm_3_C_5_Meter_104_1186:hvac_load,house_3_6C_tm_3_C_6_Meter_104_1187:hvac_load,house_3_7C_tm_3_C_7_Meter_104_1188:hvac_load,house_3_8C_tm_3_C_8_Meter_104_1189:hvac_load,house_3_9C_tm_3_C_9_Meter_104_1190:hvac_load,house_3_10C_tm_3_C_10_Meter_104_1191:hvac_load,house_3_11C_tm_3_C_11_Meter_104_1192:hvac_load,house_3_12C_tm_3_C_12_Meter_104_1193:hvac_load,house_3_13C_tm_3_C_13_Meter_104_1194:hvac_load,house_3_14C_tm_3_C_14_Meter_104_1195:hvac_load,house_3_15C_tm_3_C_15_Meter_104_1196:hvac_load,house_3_1B_tm_3_B_1_Meter_106_1197:hvac_load,house_3_2B_tm_3_B_2_Meter_106_1198:hvac_load,house_3_3B_tm_3_B_3_Meter_106_1199:hvac_load,house_3_4B_tm_3_B_4_Meter_106_1200:hvac_load
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+6.08651709688,+0,+0,+0,+5.65169749389,+0,+0,+6.08657951139,+0,+5.21704925267,+3.04376872869,+0,+0,+0,+3.47836281818,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.65573354418,+0,+0,+0,+0,+5.22077492621,+3.04594247983,+0,+0,+0,+3.47699954728,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+5.64978785313,+0,+0,+0,+0,+5.2152864654,+3.0427402272,+5.21567309618,+0,+0,+3.47604356965,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+5.6427110989,+0,+0,+5.64262416263,+0,+0,+0,+0,+5.2086736706,+0,+5.20905967459,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+5.64251732844,+0,+0,+5.6424303953,+0,+0,+0,+0,+5.20849480419,+0,+5.20888079123,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+5.64246344742,+0,+0,+5.64237651516,+0,+0,+0,+0,+5.20844506748,+0,+5.2088310498,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+5.64762842204,+1.73804707552,+0,+5.64754140632,+0,+0,+0,+0,+5.21321277284,+0,+5.2135992071,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+5.65256968717,+1.73956781607,+0,+5.65248259162,+0,+0,+0,+0,+5.21777397551,+0,+5.218160842,+0,+2.16940284872,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+5.64994438409,+1.73875984387,+0,+5.64985733096,+0,+0,+0,+0,+5.2153506003,+0,+5.21573723715,+0,+2.17022104213,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+5.64653040429,+1.73770914583,+0,+5.64644340632,+0,+0,+0,+0,+0,+0,+0,+0,+2.17204721008,+0,+0
