# file...... Output/hvac/house_hvac_file_058.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13B_tm_3_B_13_Meter_99_1141:hvac_load,house_3_14B_tm_3_B_14_Meter_99_1142:hvac_load,house_3_15B_tm_3_B_15_Meter_99_1143:hvac_load,house_3_1C_tm_3_C_1_Meter_100_1144:hvac_load,house_3_2C_tm_3_C_2_Meter_100_1145:hvac_load,house_3_3C_tm_3_C_3_Meter_100_1146:hvac_load,house_3_4C_tm_3_C_4_Meter_100_1147:hvac_load,house_3_5C_tm_3_C_5_Meter_100_1148:hvac_load,house_3_6C_tm_3_C_6_Meter_100_1149:hvac_load,house_3_7C_tm_3_C_7_Meter_100_1150:hvac_load,house_3_8C_tm_3_C_8_Meter_100_1151:hvac_load,house_3_9C_tm_3_C_9_Meter_100_1152:hvac_load,house_3_10C_tm_3_C_10_Meter_100_1153:hvac_load,house_3_11C_tm_3_C_11_Meter_100_1154:hvac_load,house_3_12C_tm_3_C_12_Meter_100_1155:hvac_load,house_3_13C_tm_3_C_13_Meter_100_1156:hvac_load,house_3_14C_tm_3_C_14_Meter_100_1157:hvac_load,house_3_15C_tm_3_C_15_Meter_100_1158:hvac_load,house_3_1C_tm_3_C_1_Meter_102_1159:hvac_load,house_3_2C_tm_3_C_2_Meter_102_1160:hvac_load
2010-08-16 14:58:00 UTC,+5.65274038872,+3.91361472657,+0,+3.03240409189,+2.59939779805,+4.76464994153,+1.73301695085,+0,+5.63106227746,+3.03261799966,+0,+0,+5.63101237149,+6.06405506804,+0,+3.46563825474,+3.03265915269,+5.63082937288,+4.32898425439,+3.46340211802
2010-08-16 14:58:30 UTC,+5.65140352554,+3.9126891521,+2.60853151437,+3.03035313429,+2.59763966438,+4.76142751135,+1.73184478815,+0,+5.62725380515,+3.03056685291,+0,+0,+5.62720396573,+6.05995380139,+0,+3.46329428669,+3.0306079763,+5.62702110634,+4.32583603396,+3.46088335406
2010-08-16 14:59:00 UTC,+5.65372883575,+3.91429907585,+2.60960483212,+3.03014183708,+2.59745853496,+4.76109552475,+1.73172402762,+5.62650236479,+5.62686144232,+3.03035553621,+0,+0,+5.62681160976,+6.05953127383,+0,+3.46305280246,+3.03039665654,+5.62662876472,+4.32547306123,+3.46059295423
2010-08-16 14:59:30 UTC,+5.65288292889,+3.91371341396,+2.60921437804,+3.02764226098,+2.59531583391,+4.7571682329,+1.73029547055,+5.62186126057,+5.62221991962,+3.02785572952,+0,+0,+5.62217016825,+6.05453291221,+3.02760440002,+3.46019612397,+3.02789681372,+5.62198749288,+4.32185437698,+3.45769779115
2010-08-16 15:00:00 UTC,+5.65873066697,+3.91776208338,+2.61191357966,+0,+2.59689798607,+4.76006811164,+1.7313503049,+5.62528821227,+5.62564718033,+3.02970156543,+0,+0,+5.62559736901,+6.05822365972,+3.02945001876,+3.46230547096,+3.02974267631,+5.62541456836,+4.32401261704,+3.45942451183
2010-08-16 15:00:30 UTC,+5.66052417118,+3.91900381232,+2.61274142615,+0,+2.59814430896,+4.7623524592,+0,+5.62798775575,+5.62834696718,+3.03115560229,+0,+2.59806613964,+5.62829710865,+6.06113100542,+3.03090388458,+3.4639670858,+3.03119673418,+5.62811053543,+4.32603476857,+3.46104235358
2010-08-16 15:01:00 UTC,+5.66673355151,+3.92330286391,+2.6156075547,+0,+2.59742690019,+4.76103754229,+0,+5.62643384361,+5.62679291498,+3.03031862913,+0,+2.59734876351,+5.62674308362,+6.05945747811,+3.03006700986,+3.46301062653,+3.03035974893,+5.62655656921,+4.32515962228,+3.4603421844
2010-08-16 15:01:30 UTC,+5.66452714025,+3.92177525967,+2.61458911842,+0,+2.59744788941,+4.76107601291,+0,+5.62647930656,+5.62683525515,+3.03034311645,+0,+2.59736975179,+5.62678854983,+6.05950644062,+3.03009149432,+3.46303860967,+3.03038423659,+5.62660203373,+4.32495454958,+3.46017811399
2010-08-16 15:02:00 UTC,+5.6649915374,+3.92209678407,+2.61480347506,+0,+2.59356207361,+4.75395381914,+0,+5.61806260499,+5.61841780382,+3.02580968501,+5.61851311039,+2.59348411295,+5.61837123649,+6.05044184814,+3.02555859637,+3.45785798674,+3.02585073965,+5.61818503902,+4.31883554901,+3.4552825488
2010-08-16 15:02:30 UTC,+5.66349150619,+3.92105824057,+2.61411108998,+0,+2.59328663248,+4.75344897139,+0,+5.61746599765,+5.61782114335,+3.02548833848,+5.61791644177,+2.59320868437,+5.61777458581,+6.04979931587,+3.02523728763,+3.45749076484,+3.02552938848,+5.61758841089,+4.31824189523,+3.45480759042
2010-08-16 15:03:00 UTC,+5.66360060175,+3.92113377264,+2.61416144634,+3.02900482375,+2.59648385787,+4.75930906845,+1.73107420211,+5.62439120769,+5.62474697042,+3.02921841803,+5.62484236362,+2.59640576412,+5.6247002993,+6.05725760664,+3.02896692815,+3.46175334952,+3.02925952193,+5.6245138622,+4.32384648712,+3.45929159804
2010-08-16 15:03:30 UTC,+5.66149524489,+3.91967613319,+2.61318965479,+3.0349070097,+2.60154336361,+4.7685824842,+1.73444741767,+5.63535013075,+5.63570686897,+3.03512114825,+5.63580241239,+2.60146503968,+0,+6.06906011235,+3.03486896432,+0,+3.03516233747,+5.63547316651,+4.33223840024,+0
2010-08-16 15:04:00 UTC,+5.65455760985,+3.91487287589,+2.60998737805,+3.03389487678,+2.6006757372,+4.76699223788,+1.73386896375,+5.63347084623,+5.63382741719,+3.03410892198,+5.63392293481,+2.60059745273,+0,+6.06703616656,+3.03385685705,+0,+3.03415009656,+5.63359381664,+4.33071181034,+0
2010-08-16 15:04:30 UTC,+5.65505504009,+3.9152172707,+0,+3.03704944044,+2.60337991033,+4.77194863575,+1.73567185898,+5.6393281036,+0,+3.03726377647,+5.63978079372,+2.60330150291,+0,+6.07334429663,+3.03701134077,+0,+3.03730499666,+5.63945127761,+4.3351790601,+0
2010-08-16 15:05:00 UTC,+5.65039530011,+3.91199110928,+0,+3.04063225116,+2.60645118772,+4.77757788873,+1.73771950569,+5.64598051219,+0,+3.04084691734,+5.64643388525,+2.60637264078,+0,+6.08050878589,+3.04059406082,+0,+0,+5.64610391722,+4.34012162518,+0
2010-08-16 15:05:30 UTC,+5.63859852687,+3.90382538113,+0,+3.04401002303,+2.60934670041,+4.78288498844,+1.73964996854,+5.65225221397,+0,+3.04422500032,+5.65270623064,+2.60926802206,+0,+6.08726326259,+3.04397174733,+0,+0,+5.6523758366,+0,+0
2010-08-16 15:06:00 UTC,+5.63784778464,+3.90330560581,+0,+3.04733474508,+0,+4.78810873749,+1.74154976524,+5.65842541554,+0,+3.0475500285,+5.65888006555,+2.61211792975,+0,+6.09391165671,+3.04729638548,+0,+0,+5.65854925217,+0,+0
2010-08-16 15:06:30 UTC,+5.63589263753,+3.90195196245,+0,+3.05363516872,+0,+4.79800786139,+1.74515057899,+5.67012377381,+0,+3.05385014526,+5.67057962337,+2.61751856938,+0,+6.10651051525,+3.05359665042,+0,+0,+5.67024801545,+0,+0
2010-08-16 15:07:00 UTC,+5.64143429926,+0,+2.6039310779,+3.05592994714,+0,+4.8016133805,+1.74646208907,+5.67438462103,+0,+3.05614513344,+5.67484090731,+2.61948562302,+0,+0,+3.05589137114,+3.49252335163,+0,+5.67450901002,+0,+3.49042124394
2010-08-16 15:07:30 UTC,+5.6433447613,+0,+2.60481291064,+3.05433599669,+0,+4.79910899105,+1.74555111568,+5.67142504142,+5.67178498388,+0,+5.67188102436,+2.61811930982,+0,+0,+3.05429746076,+3.49070168279,+0,+5.67154932807,+0,+3.48882943941
2010-08-16 15:08:00 UTC,+5.64873629487,+0,+2.60730153948,+3.05112197333,+0,+4.7940591692,+0,+5.66545737943,+5.66581679258,+0,+5.66591275059,+2.61536429161,+5.66576945142,+0,+3.05108351828,+3.48702849075,+0,+5.66558145959,+4.35599368991,+3.48501127536
