# file...... Output/hvac/house_hvac_file_062.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_10B_tm_3_B_10_Meter_107_1221:hvac_load,house_3_11B_tm_3_B_11_Meter_107_1222:hvac_load,house_3_12B_tm_3_B_12_Meter_107_1223:hvac_load,house_3_13B_tm_3_B_13_Meter_107_1224:hvac_load,house_3_14B_tm_3_B_14_Meter_107_1225:hvac_load,house_3_15B_tm_3_B_15_Meter_107_1226:hvac_load,house_3_1A_tm_3_A_1_Meter_109_1227:hvac_load,house_3_2A_tm_3_A_2_Meter_109_1228:hvac_load,house_3_3A_tm_3_A_3_Meter_109_1229:hvac_load,house_3_4A_tm_3_A_4_Meter_109_1230:hvac_load,house_3_5A_tm_3_A_5_Meter_109_1231:hvac_load,house_3_6A_tm_3_A_6_Meter_109_1232:hvac_load,house_3_7A_tm_3_A_7_Meter_109_1233:hvac_load,house_3_8A_tm_3_A_8_Meter_109_1234:hvac_load,house_3_9A_tm_3_A_9_Meter_109_1235:hvac_load,house_3_10A_tm_3_A_10_Meter_109_1236:hvac_load,house_3_11A_tm_3_A_11_Meter_109_1237:hvac_load,house_3_12A_tm_3_A_12_Meter_109_1238:hvac_load,house_3_13A_tm_3_A_13_Meter_109_1239:hvac_load,house_3_14A_tm_3_A_14_Meter_109_1240:hvac_load
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+3.91150848571,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.9113683288
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+3.90570329053,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.17443028732,+3.91346257496
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+3.90921221678,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.0386823495,+0,+0,+2.17054810214,+3.90647583205
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+3.91148077177,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.0431337545,+0,+0,+2.17372779617,+3.91219830624
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+3.90860128228,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.04105814846,+0,+0,+2.17224516493,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+3.90941615976,+0,+0,+0,+0,+0,+0,+0,+5.20547929265,+0,+3.03673545642,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+3.90713723029,+0,+0,+0,+0,+0,+0,+0,+5.20745832473,+0,+3.03788998879,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.21393877292,+0,+3.04167056776,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.2060842127,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+5.20955667889,+0,+0,+0,+0,+0,+0
