# file...... Output/hvac/house_hvac_file_034.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_60_661:hvac_load,house_3_4A_tm_3_A_4_Meter_60_662:hvac_load,house_3_5A_tm_3_A_5_Meter_60_663:hvac_load,house_3_6A_tm_3_A_6_Meter_60_664:hvac_load,house_3_7A_tm_3_A_7_Meter_60_665:hvac_load,house_3_8A_tm_3_A_8_Meter_60_666:hvac_load,house_3_1C_tm_3_C_1_Meter_62_667:hvac_load,house_3_2C_tm_3_C_2_Meter_62_668:hvac_load,house_3_3C_tm_3_C_3_Meter_62_669:hvac_load,house_3_4C_tm_3_C_4_Meter_62_670:hvac_load,house_3_5C_tm_3_C_5_Meter_62_671:hvac_load,house_3_6C_tm_3_C_6_Meter_62_672:hvac_load,house_3_7C_tm_3_C_7_Meter_62_673:hvac_load,house_3_8C_tm_3_C_8_Meter_62_674:hvac_load,house_3_9C_tm_3_C_9_Meter_62_675:hvac_load,house_3_10C_tm_3_C_10_Meter_62_676:hvac_load,house_3_11C_tm_3_C_11_Meter_62_677:hvac_load,house_3_12C_tm_3_C_12_Meter_62_678:hvac_load,house_3_13C_tm_3_C_13_Meter_62_679:hvac_load,house_3_14C_tm_3_C_14_Meter_62_680:hvac_load
2010-08-16 00:46:00 UTC,+0,+4.30152265448,+0,+0,+0,+0,+5.16246619983,+0,+0,+0,+0,+2.15143097764,+0,+4.73257437319,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+4.30115835386,+0,+0,+0,+0,+5.16209642781,+1.72112160711,+0,+0,+0,+2.15127686973,+0,+4.73223538788,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+5.16510473951,+1.72212469083,+0,+0,+0,+2.15253062786,+0,+4.73499323177,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+5.15986768871,+1.72037846201,+0,+0,+0,+0,+0,+4.73019221043,+0,+0,+0,+0,+5.16060448412,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+5.15737193899,+1.71954628559,+0,+0,+0,+0,+0,+4.72790425331,+0,+0,+0,+0,+5.15810828077,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.7292930803,+0,+5.15970489043,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.72546037789,+0,+5.15552324823,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.01445229214,+0,+4.72569478232,+2.14833692573,+5.15577899347,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+4.29367454113,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.0201000554,+0,+4.73013234307,+2.1503543619,+5.16062056199,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+4.29541227755,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.01976840741,+0,+4.7298717606,+2.150235894,+5.16033625537,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+4.30002137611,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.01980207297,+0,+4.7298982123,+2.15024791967,+5.16036511532,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+4.29444714186,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.02259804335,+0,+4.73209506228,+0,+5.16276197249,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+4.29615172567,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.02396186569,+0,+4.73316664484,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+4.29671852069,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.02313738149,+0,+4.73251883107,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73154418745,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.72678900056,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4.7265255383,+0,+0,+0,+0,+0,+0,+4.72672573229,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+6.45690990784,+0,+0,+4.7255081378,+0,+5.58448567876,+0,+0,+0,+0,+4.72570827346,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+6.45641017524,+0,+0,+4.73157273413,+0,+5.59165262925,+0,+0,+0,+0,+4.73177321741,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+6.45948119063,+0,+0,+4.73106723024,+0,+5.59105524053,+0,+0,+0,+0,+4.73126768455,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+4.3071039043,+0,+0,+0,+6.46026729924,+0,+0,+4.73206114482,+0,+5.59222981775,+2.15131485897,+4.73210308194,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+4.30340534157,+0,+0,+0,+6.45471987623,+0,+0,+4.73329123652,+0,+5.59368350169,+2.15187411622,+4.73333318587,+0,+0,+0,+0,+0,+0,+0
