# file...... Output/hvac/house_hvac_file_021.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_4B_tm_2_B_4_Meter_47_401:hvac_load,house_2_5B_tm_2_B_5_Meter_47_402:hvac_load,house_2_6B_tm_2_B_6_Meter_47_403:hvac_load,house_2_7B_tm_2_B_7_Meter_47_404:hvac_load,house_2_8B_tm_2_B_8_Meter_47_405:hvac_load,house_2_9B_tm_2_B_9_Meter_47_406:hvac_load,house_2_10B_tm_2_B_10_Meter_47_407:hvac_load,house_2_11B_tm_2_B_11_Meter_47_408:hvac_load,house_2_12B_tm_2_B_12_Meter_47_409:hvac_load,house_2_13B_tm_2_B_13_Meter_47_410:hvac_load,house_2_14B_tm_2_B_14_Meter_47_411:hvac_load,house_2_15B_tm_2_B_15_Meter_47_412:hvac_load,house_2_1C_tm_2_C_1_Meter_47_413:hvac_load,house_2_2C_tm_2_C_2_Meter_47_414:hvac_load,house_2_3C_tm_2_C_3_Meter_47_415:hvac_load,house_2_4C_tm_2_C_4_Meter_47_416:hvac_load,house_2_5C_tm_2_C_5_Meter_47_417:hvac_load,house_2_6C_tm_2_C_6_Meter_47_418:hvac_load,house_2_7C_tm_2_C_7_Meter_47_419:hvac_load,house_2_8C_tm_2_C_8_Meter_47_420:hvac_load
2010-08-16 15:33:30 UTC,+2.1516201454,+4.30282561232,+5.16343341704,+3.44226147012,+4.30289212313,+3.44263520541,+3.87273746482,+3.01228953704,+2.15170238502,+4.30278293212,+2.15173559283,+2.15168929567,+0,+3.43299891969,+3.43285418901,+6.00671888932,+4.29093119556,+5.14840232415,+1.71654497414,+3.00392222854
2010-08-16 15:34:00 UTC,+2.15022964629,+4.30004494848,+5.16009657985,+3.4400369506,+4.30011140078,+3.44041036112,+3.87023471009,+3.01034280723,+2.15031180684,+4.30000229369,+2.15034498884,+2.15029873006,+0,+3.43026952812,+3.43012494208,+6.00194346078,+4.28751976791,+5.14430939298,+1.71518023059,+3.00153395256
2010-08-16 15:34:30 UTC,+0,+4.29959839971,+5.1595607148,+3.43967971344,+4.29966484261,+3.44005307179,+3.86983279094,+3.01003018051,+2.1500884929,+4.299555749,+2.15012167076,+2.15007541814,+0,+3.43365484333,+3.4335100779,+6.00786651378,+4.29175102518,+5.14938593181,+1.71687294744,+3.00449617575
2010-08-16 15:35:00 UTC,+0,+4.29986309576,+5.15987835393,+3.43989146918,+4.29992954423,+3.44026485845,+3.87007103235,+3.01021549298,+2.15022086437,+4.29982044264,+2.15025404468,+2.15020778841,+0,+3.43430237641,+3.43415757666,+6.00899945782,+4.29256036755,+5.15035695717,+1.71719672531,+3.00506278103
2010-08-16 15:35:30 UTC,+0,+4.29905952469,+5.15891405692,+3.43924861567,+4.29912595625,+3.43962191107,+3.86934777294,+3.00965291661,+2.14981900766,+0,+2.14985218052,+2.14980593534,+0,+3.43484041282,+3.43469558457,+6.00994082314,+4.29323285162,+5.15116378396,+1.71746575293,+3.00553357439
2010-08-16 15:36:00 UTC,+0,+4.29532564097,+5.15443334194,+3.43626152427,+4.29539199393,+3.43663438337,+3.86598706636,+3.00703884189,+2.14795173501,+0,+2.1479848732,+2.14793867957,+3.00513600048,+0,+3.43440168873,+6.00942658655,+4.29286549593,+5.1507230413,+1.71731879209,+0
2010-08-16 15:36:30 UTC,+0,+4.29665890794,+5.15603328177,+3.43732813228,+4.29672528896,+3.43770114717,+3.86718708205,+3.00797225593,+2.14861848661,+0,+2.14865163717,+2.14860542514,+3.00246778336,+0,+3.43135233367,+6.00409105715,+0,+5.14615005794,+1.71579398039,+0
2010-08-16 15:37:00 UTC,+2.14860947616,+4.2968049979,+5.15620859186,+3.43744500364,+4.296871382,+0,+3.86731857129,+3.00807453283,+2.14869154453,+0,+2.14872469645,+2.1486784824,+3.00298273672,+0,+3.43194084486,+6.00512078918,+0,+5.14703262215,+1.71608826189,+0
2010-08-16 15:37:30 UTC,+2.14960425458,+4.29879431547,+5.15859580198,+3.4390364494,+4.29886074144,+0,+3.86910906964,+3.00946724486,+2.14968637955,+0,+2.14971954994,+2.14967330843,+3.00093850099,+0,+3.42960460298,+6.00103301107,+0,+5.14352906347,+1.71492003813,+0
2010-08-16 15:38:00 UTC,+2.15010423846,+4.29979416298,+5.15979563359,+3.43983632325,+4.29986061001,+0,+3.87000898896,+3.01016723347,+2.15018639188,+0,+2.15021957155,+0,+2.99996926985,+0,+3.42849692329,+5.99909487747,+0,+5.14186792521,+1.71436614955,+0
