# file...... Output/hvac/house_hvac_file_016.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12A_tm_2_A_12_Meter_35_301:hvac_load,house_2_13A_tm_2_A_13_Meter_35_302:hvac_load,house_2_14A_tm_2_A_14_Meter_35_303:hvac_load,house_2_15A_tm_2_A_15_Meter_35_304:hvac_load,house_2_1A_tm_2_A_1_Meter_37_305:hvac_load,house_2_2A_tm_2_A_2_Meter_37_306:hvac_load,house_2_3A_tm_2_A_3_Meter_37_307:hvac_load,house_2_4A_tm_2_A_4_Meter_37_308:hvac_load,house_2_5A_tm_2_A_5_Meter_37_309:hvac_load,house_2_6A_tm_2_A_6_Meter_37_310:hvac_load,house_2_7A_tm_2_A_7_Meter_37_311:hvac_load,house_2_8A_tm_2_A_8_Meter_37_312:hvac_load,house_2_9A_tm_2_A_9_Meter_37_313:hvac_load,house_2_10A_tm_2_A_10_Meter_37_314:hvac_load,house_2_11A_tm_2_A_11_Meter_37_315:hvac_load,house_2_12A_tm_2_A_12_Meter_37_316:hvac_load,house_2_13A_tm_2_A_13_Meter_37_317:hvac_load,house_2_14A_tm_2_A_14_Meter_37_318:hvac_load,house_2_15A_tm_2_A_15_Meter_37_319:hvac_load,house_2_1B_tm_2_B_1_Meter_38_320:hvac_load
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.44672985034,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+3.44776496401,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+3.87991402751,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+5.59898074223,+0,+3.87678087773,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+5.59827695455,+3.01509640758,+3.87629355273,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73664809344,+0,+0
2010-08-16 00:52:30 UTC,+0,+5.59862879102,+3.01528590834,+3.87653717551,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73687531855,+0,+0
2010-08-16 00:53:00 UTC,+0,+5.59866675585,+3.01530635639,+3.87656346357,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73677630756,+2.15337929316,+0
2010-08-16 00:53:30 UTC,+0,+5.60090922114,+3.01651415862,+3.87811621796,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.73868774315,+2.15424827957,+0
2010-08-16 00:54:00 UTC,+0,+5.60288369473,+0,+3.87948340629,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3089651211,+0,+4.73994557348,+2.15482012066,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+3.88166938631,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.3113420223,+0,+4.74256023368,+2.15600881056,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58870989197,+0,+0,+4.31396630438,+0,+4.74544701998,+2.15732121574,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.58910221323,+0,+0,+4.31462006503,+0,+4.74616617564,+0,+0
