# file...... Output/hvac/house_hvac_file_061.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_5B_tm_3_B_5_Meter_106_1201:hvac_load,house_3_6B_tm_3_B_6_Meter_106_1202:hvac_load,house_3_7B_tm_3_B_7_Meter_106_1203:hvac_load,house_3_8B_tm_3_B_8_Meter_106_1204:hvac_load,house_3_9B_tm_3_B_9_Meter_106_1205:hvac_load,house_3_10B_tm_3_B_10_Meter_106_1206:hvac_load,house_3_11B_tm_3_B_11_Meter_106_1207:hvac_load,house_3_12B_tm_3_B_12_Meter_106_1208:hvac_load,house_3_13B_tm_3_B_13_Meter_106_1209:hvac_load,house_3_14B_tm_3_B_14_Meter_106_1210:hvac_load,house_3_15B_tm_3_B_15_Meter_106_1211:hvac_load,house_3_1B_tm_3_B_1_Meter_107_1212:hvac_load,house_3_2B_tm_3_B_2_Meter_107_1213:hvac_load,house_3_3B_tm_3_B_3_Meter_107_1214:hvac_load,house_3_4B_tm_3_B_4_Meter_107_1215:hvac_load,house_3_5B_tm_3_B_5_Meter_107_1216:hvac_load,house_3_6B_tm_3_B_6_Meter_107_1217:hvac_load,house_3_7B_tm_3_B_7_Meter_107_1218:hvac_load,house_3_8B_tm_3_B_8_Meter_107_1219:hvac_load,house_3_9B_tm_3_B_9_Meter_107_1220:hvac_load
2010-08-16 00:32:30 UTC,+0,+0,+0,+0,+0,+0,+0,+6.08257643256,+5.64793870474,+0,+0,+4.34371006246,+0,+0,+0,+0,+0,+3.90941578333,+0,+0
2010-08-16 00:33:00 UTC,+0,+0,+0,+0,+0,+0,+0,+6.0791505191,+5.64475760468,+0,+0,+4.34077882049,+0,+0,+0,+0,+0,+3.90677758093,+0,+0
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34502939616,+0,+0,+0,+0,+0,+3.91060322173,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.34987097064,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+3.04474494536,+0,+0,+0,+0,+0,+0,+0,+0,+4.347562326,+0,+0,+0,+0,+0,+0,+3.91302440565,+0
2010-08-16 00:35:00 UTC,+0,+0,+3.04371533699,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60815594112,+0,+0,+3.91181819685,+0
2010-08-16 00:35:30 UTC,+0,+0,+3.04252240045,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.6071339384,+0,+0,+3.91028540096,+0
2010-08-16 00:36:00 UTC,+0,+0,+3.04168586781,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60641727125,+0,+0,+3.90921054617,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60803408992,+0,+0,+2.60809268368,+4.78094000235,+0,+3.91172332357,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60657285617,+0,+0,+2.60663140634,+4.7782613877,+0,+3.90953170518,+0
