# file...... Output/hvac/house_hvac_file_049.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_8B_tm_3_B_8_Meter_80_961:hvac_load,house_3_9B_tm_3_B_9_Meter_80_962:hvac_load,house_3_10B_tm_3_B_10_Meter_80_963:hvac_load,house_3_11B_tm_3_B_11_Meter_80_964:hvac_load,house_3_12B_tm_3_B_12_Meter_80_965:hvac_load,house_3_13B_tm_3_B_13_Meter_80_966:hvac_load,house_3_14B_tm_3_B_14_Meter_80_967:hvac_load,house_3_15B_tm_3_B_15_Meter_80_968:hvac_load,house_3_1A_tm_3_A_1_Meter_82_969:hvac_load,house_3_2A_tm_3_A_2_Meter_82_970:hvac_load,house_3_3A_tm_3_A_3_Meter_82_971:hvac_load,house_3_4A_tm_3_A_4_Meter_82_972:hvac_load,house_3_5A_tm_3_A_5_Meter_82_973:hvac_load,house_3_6A_tm_3_A_6_Meter_82_974:hvac_load,house_3_7A_tm_3_A_7_Meter_82_975:hvac_load,house_3_8A_tm_3_A_8_Meter_82_976:hvac_load,house_3_9A_tm_3_A_9_Meter_82_977:hvac_load,house_3_10A_tm_3_A_10_Meter_82_978:hvac_load,house_3_11A_tm_3_A_11_Meter_82_979:hvac_load,house_3_12A_tm_3_A_12_Meter_82_980:hvac_load
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+4.34428757466,+0,+0,+0,+0,+2.61219694977,+0,+0,+0,+1.30615586199,+2.1767333146,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+4.34524923367,+0,+0,+0,+0,+2.61206443741,+0,+5.6584519606,+0,+1.30608960219,+2.17662289452,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+4.34573378673,+0,+0,+0,+0,+0,+0,+5.65246591563,+0,+1.30470781746,+2.17432018971,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+4.3454379216,+0,+0,+0,+0,+0,+0,+5.65520812204,+0,+1.30534081286,+2.17537505847,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+4.34555436873,+3.04226413192,+0,+0,+0,+0,+0,+5.65482463282,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+3.04217089099,+0,+0,+0,+0,+0,+5.65307032794,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+5.21446903772,+0,+0,+0,+0,+3.04197444481,+0,+0,+0,+0,+0,+5.65370549385,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+5.2056931081,+0,+0,+0,+0,+3.03685474584,+3.03670475361,+0,+0,+0,+0,+5.65574156011,+0,+0,+0,+0,+0,+2.61074577069,+0,+0
2010-08-16 00:48:30 UTC,+5.21095174446,+0,+0,+0,+0,+3.03992252742,+3.03977233958,+0,+0,+0,+0,+5.64579107203,+0,+0,+0,+0,+0,+2.60615234516,+0,+4.7770729587
2010-08-16 00:49:00 UTC,+5.21359929571,+0,+0,+0,+0,+0,+3.0413167687,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61036905554,+0,+4.78480179093
2010-08-16 00:49:30 UTC,+5.20985079736,+0,+0,+0,+0,+0,+3.03913011037,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.60812088307,+0,+4.7806811028
2010-08-16 00:50:00 UTC,+5.21061130472,+0,+0,+0,+0,+0,+3.03957374662,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77427707167
2010-08-16 00:50:30 UTC,+5.20719608672,+0,+0,+0,+0,+0,+3.03758150488,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77595542015
2010-08-16 00:51:00 UTC,+5.19930513891,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.78274713995
2010-08-16 00:51:30 UTC,+0,+0,+4.34079053917,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77492576583
2010-08-16 00:52:00 UTC,+0,+0,+4.34311984033,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77748251618
2010-08-16 00:52:30 UTC,+0,+0,+4.34010379666,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+4.77920195046
2010-08-16 00:53:00 UTC,+0,+0,+4.33474523365,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+4.33123504268,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+4.33563913282,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+4.33456086251,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47355598385,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47000102036,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.47099829194,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.46834570574,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+3.46465212513,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+3.46415769607,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61138281297,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+2.61258023278,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
