# file...... Output/hvac/house_hvac_file_009.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_8A_tm_0_A_8_Meter_20_161:hvac_load,house_0_9A_tm_0_A_9_Meter_20_162:hvac_load,house_0_10A_tm_0_A_10_Meter_20_163:hvac_load,house_0_11A_tm_0_A_11_Meter_20_164:hvac_load,house_0_12A_tm_0_A_12_Meter_20_165:hvac_load,house_0_13A_tm_0_A_13_Meter_20_166:hvac_load,house_0_14A_tm_0_A_14_Meter_20_167:hvac_load,house_0_15A_tm_0_A_15_Meter_20_168:hvac_load,house_1_1B_tm_1_B_1_Meter_22_169:hvac_load,house_1_2B_tm_1_B_2_Meter_22_170:hvac_load,house_1_3B_tm_1_B_3_Meter_22_171:hvac_load,house_1_4B_tm_1_B_4_Meter_22_172:hvac_load,house_1_5B_tm_1_B_5_Meter_22_173:hvac_load,house_1_6B_tm_1_B_6_Meter_22_174:hvac_load,house_1_7B_tm_1_B_7_Meter_22_175:hvac_load,house_1_8B_tm_1_B_8_Meter_22_176:hvac_load,house_1_9B_tm_1_B_9_Meter_22_177:hvac_load,house_1_10B_tm_1_B_10_Meter_22_178:hvac_load,house_1_11B_tm_1_B_11_Meter_22_179:hvac_load,house_1_12B_tm_1_B_12_Meter_22_180:hvac_load
2010-08-16 00:34:00 UTC,+0,+3.88191830776,+0,+0,+6.03786931463,+0,+0,+0,+0,+0,+0,+6.47338845446,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.47266221176,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+6.47235318711,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+3.88170797165,+0,+0,+0,+0,+2.15688233347,+0,+0,+0,+6.46991451531,+0,+0,+0,+0,+3.01958633876,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+3.8824510068,+0,+0,+0,+0,+2.15729522327,+0,+0,+0,+6.4684380467,+0,+0,+0,+0,+3.01889723953,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+3.882818453,+0,+0,+0,+0,+2.15749940581,+0,+0,+0,+6.46768972794,+0,+0,+0,+0,+3.01854798327,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+3.88347504732,+0,+0,+0,+0,+2.15786426216,+0,+0,+0,+0,+0,+0,+0,+0,+3.01828538688,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+3.88363222095,+0,+0,+3.02097355804,+0,+2.15795160043,+0,+0,+0,+0,+0,+0,+0,+0,+3.01778254546,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+3.88499427446,+0,+0,+3.02203310137,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+3.01548972376,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+3.88447128877,+0,+0,+3.02162627007,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
