# file...... Output/hvac/house_hvac_file_017.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_2B_tm_2_B_2_Meter_38_321:hvac_load,house_2_3B_tm_2_B_3_Meter_38_322:hvac_load,house_2_4B_tm_2_B_4_Meter_38_323:hvac_load,house_2_5B_tm_2_B_5_Meter_38_324:hvac_load,house_2_6B_tm_2_B_6_Meter_38_325:hvac_load,house_2_7B_tm_2_B_7_Meter_38_326:hvac_load,house_2_8B_tm_2_B_8_Meter_38_327:hvac_load,house_2_1B_tm_2_B_1_Meter_39_328:hvac_load,house_2_2B_tm_2_B_2_Meter_39_329:hvac_load,house_2_3B_tm_2_B_3_Meter_39_330:hvac_load,house_2_4B_tm_2_B_4_Meter_39_331:hvac_load,house_2_5B_tm_2_B_5_Meter_39_332:hvac_load,house_2_6B_tm_2_B_6_Meter_39_333:hvac_load,house_2_7B_tm_2_B_7_Meter_39_334:hvac_load,house_2_8B_tm_2_B_8_Meter_39_335:hvac_load,house_2_1C_tm_2_C_1_Meter_41_336:hvac_load,house_2_2C_tm_2_C_2_Meter_41_337:hvac_load,house_2_3C_tm_2_C_3_Meter_41_338:hvac_load,house_2_4C_tm_2_C_4_Meter_41_339:hvac_load,house_2_5C_tm_2_C_5_Meter_41_340:hvac_load
2010-08-16 14:50:00 UTC,+0,+0,+3.88146611656,+4.31238566092,+5.60556021052,+2.58758872852,+5.17513844218,+3.01821546473,+0,+5.60444731205,+0,+2.15592145808,+2.58705784746,+4.74220957375,+4.74258552057,+4.28673501595,+3.85845380535,+5.57247829647,+3.00102155046,+0
2010-08-16 14:50:30 UTC,+0,+0,+3.87952094085,+4.31022457708,+5.60275115624,+2.58629198288,+5.17254495236,+3.0167030873,+0,+5.60163911944,+0,+2.15484115051,+2.58576150907,+4.73983340948,+4.74020913333,+4.28837084574,+3.85992625901,+5.57460474399,+3.00216679076,+0
2010-08-16 14:51:00 UTC,+0,+0,+3.87991866742,+4.31066645,+5.60332551852,+2.58655712612,+5.17307523856,+3.01701232033,+0,+5.60221330542,+0,+2.15506203901,+2.586026569,+4.74031925943,+4.74069502885,+4.29202327397,+3.86321390612,+5.57935260779,+3.00472384645,+0
2010-08-16 14:51:30 UTC,+4.73941061576,+2.58560403789,+3.87829514317,+4.30886271991,+5.6009809655,+2.58547480848,+0,+3.01578811292,+0,+5.59994018892,+0,+2.1541875744,+2.58497723632,+4.7383958521,+4.73877144102,+0,+3.86387043097,+5.58030072969,+3.00523447625,+0
2010-08-16 14:52:00 UTC,+4.74332168797,+2.5877378357,+3.88149572054,+4.31241855085,+5.60560296204,+2.58760846393,+0,+3.01838462955,+0,+5.60476141843,+0,+2.15604229434,+0,+4.74247535622,+4.74285132798,+0,+3.86224610501,+5.57795495529,+3.00397111319,+0
2010-08-16 14:52:30 UTC,+4.7423256256,+2.58719440528,+3.8806806053,+4.31151296048,+5.60442584318,+2.58706506976,+0,+3.01775082271,+0,+5.60358456161,+0,+2.15558955926,+0,+4.74147955375,+4.74185543207,+0,+3.86700125925,+5.58482212356,+3.0076695619,+0
2010-08-16 14:53:00 UTC,+4.73836799426,+2.58503520581,+3.87744192686,+4.30791479937,+5.59974882438,+0,+0,+3.01498917424,+4.73718266167,+5.59845671415,+0,+2.15361688384,+0,+4.73714060353,+4.73751607468,+0,+3.86781131046,+5.58599196117,+3.00829960096,+0
2010-08-16 14:53:30 UTC,+4.7391757995,+2.58547592716,+3.87810298424,+4.30864923195,+5.60070346617,+0,+0,+3.01550311952,+4.73799014695,+5.59941101121,+0,+2.15398400053,+0,+4.7379480861,+4.73832363302,+0,+3.87067930898,+5.59013378906,+3.01053026373,+0
2010-08-16 14:54:00 UTC,+4.74180850583,+2.58691227571,+3.88025742673,+0,+5.6038147254,+0,+0,+3.01710188191,+4.74050204294,+5.602379604,+0,+2.15512601382,+0,+4.74045997369,+4.74083575631,+0,+3.86980161914,+5.58886627085,+3.00984761691,+4.29939274086
2010-08-16 14:54:30 UTC,+4.74165051532,+2.58682607946,+3.88012813718,+0,+5.60362801659,+0,+0,+3.01700136952,+4.74034412284,+5.60219297188,+0,+2.15505421673,+0,+4.74030205411,+4.74067782193,+0,+3.86921381782,+5.58801739603,+0,+4.29873970627
