# file...... Output/house_1_1B_tm_1_B_1_Meter_22_169.csv
# date...... Tue Dec  5 21:17:54 2017
# user...... yingying
# host...... (null)
# target.... house 1231
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_state, air_temperature, hvac_load, total_load
2010-08-16 00:03:32 UTC,OFF,+74.2995577564,+0,+1.3615
2010-08-16 00:03:33 UTC,OFF,+74.3004268662,+0,+1.3615
2010-08-16 00:03:34 UTC,OFF,+74.3012940786,+0,+1.3615
2010-08-16 00:03:35 UTC,OFF,+74.3021593996,+0,+1.3615
2010-08-16 00:03:36 UTC,OFF,+74.3030228354,+0,+1.3615
2010-08-16 00:03:37 UTC,OFF,+74.3038843921,+0,+1.3615
2010-08-16 00:03:38 UTC,OFF,+74.3047440756,+0,+1.3615
2010-08-16 00:03:39 UTC,OFF,+74.3056018919,+0,+1.3615
2010-08-16 00:03:40 UTC,OFF,+74.306457847,+0,+1.3615
2010-08-16 00:03:41 UTC,OFF,+74.307311947,+0,+1.3615
2010-08-16 00:03:42 UTC,OFF,+74.3081641978,+0,+1.3615
2010-08-16 00:03:43 UTC,OFF,+74.3090146052,+0,+1.3615
2010-08-16 00:03:44 UTC,OFF,+74.3098631752,+0,+1.3615
2010-08-16 00:03:45 UTC,OFF,+74.3107099137,+0,+1.3615
2010-08-16 00:03:46 UTC,OFF,+74.3115548266,+0,+1.3615
2010-08-16 00:03:47 UTC,OFF,+74.3123979197,+0,+1.3615
2010-08-16 00:03:48 UTC,OFF,+74.3132391989,+0,+1.3615
2010-08-16 00:03:49 UTC,OFF,+74.31407867,+0,+1.3615
2010-08-16 00:03:50 UTC,OFF,+74.3149163387,+0,+1.3615
2010-08-16 00:03:51 UTC,OFF,+74.3157522109,+0,+1.3615
2010-08-16 00:03:52 UTC,OFF,+74.3165862923,+0,+1.3615
2010-08-16 00:03:53 UTC,OFF,+74.3174185886,+0,+1.3615
2010-08-16 00:03:54 UTC,OFF,+74.3182491056,+0,+1.3615
2010-08-16 00:03:55 UTC,OFF,+74.319077849,+0,+1.3615
2010-08-16 00:03:56 UTC,OFF,+74.3199048245,+0,+1.3615
2010-08-16 00:03:57 UTC,OFF,+74.3207300377,+0,+1.3615
2010-08-16 00:03:58 UTC,OFF,+74.3215534944,+0,+1.3615
2010-08-16 00:03:59 UTC,OFF,+74.3223752,+0,+1.3615
2010-08-16 00:04:00 UTC,OFF,+74.3231951602,+0,+1.3615
2010-08-16 00:04:01 UTC,OFF,+74.3240038483,+0,+1.3615
2010-08-16 00:04:02 UTC,OFF,+74.3248108288,+0,+1.3615
2010-08-16 00:04:03 UTC,OFF,+74.3256161071,+0,+1.3615
2010-08-16 00:04:04 UTC,OFF,+74.3264196886,+0,+1.3615
2010-08-16 00:04:05 UTC,OFF,+74.3272215789,+0,+1.3615
2010-08-16 00:04:06 UTC,OFF,+74.3280217832,+0,+1.3615
2010-08-16 00:04:07 UTC,OFF,+74.3288203071,+0,+1.3615
2010-08-16 00:04:08 UTC,OFF,+74.329617156,+0,+1.3615
2010-08-16 00:04:09 UTC,OFF,+74.3304123351,+0,+1.3615
2010-08-16 00:04:10 UTC,OFF,+74.3312058498,+0,+1.3615
2010-08-16 00:04:11 UTC,OFF,+74.3319977055,+0,+1.3615
2010-08-16 00:04:12 UTC,OFF,+74.3327879074,+0,+1.3615
2010-08-16 00:04:13 UTC,OFF,+74.3335764609,+0,+1.3615
2010-08-16 00:04:14 UTC,OFF,+74.3343633713,+0,+1.3615
2010-08-16 00:04:15 UTC,OFF,+74.3351486438,+0,+1.3615
2010-08-16 00:04:16 UTC,OFF,+74.3359322837,+0,+1.3615
2010-08-16 00:04:17 UTC,OFF,+74.3367142961,+0,+1.3615
2010-08-16 00:04:18 UTC,OFF,+74.3374946864,+0,+1.3615
2010-08-16 00:04:19 UTC,OFF,+74.3382734596,+0,+1.3615
2010-08-16 00:04:20 UTC,OFF,+74.339050621,+0,+1.3615
2010-08-16 00:04:21 UTC,OFF,+74.3398261758,+0,+1.3615
2010-08-16 00:04:22 UTC,OFF,+74.340600129,+0,+1.3615
2010-08-16 00:04:23 UTC,OFF,+74.3413724859,+0,+1.3615
2010-08-16 00:04:24 UTC,OFF,+74.3421432515,+0,+1.3615
2010-08-16 00:04:25 UTC,OFF,+74.3429124309,+0,+1.3615
2010-08-16 00:04:26 UTC,OFF,+74.3436800292,+0,+1.3615
2010-08-16 00:04:27 UTC,OFF,+74.3444460514,+0,+1.3615
2010-08-16 00:04:28 UTC,OFF,+74.3452105026,+0,+1.3615
