# file...... Output/DG_57.csv
# date...... Thu Dec  7 09:03:37 2017
# user...... yingying
# host...... (null)
# target.... load 20
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,constant_power_A_real,constant_power_B_real,constant_power_C_real
2010-08-16 01:19:00 UTC,-6666.74349987,-6666.74349987,-6666.74349987
2010-08-16 01:19:30 UTC,-6666.74349987,-6666.74349987,-6666.74349987
2010-08-16 01:20:00 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:20:30 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:21:00 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:21:30 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:22:00 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:22:30 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:23:00 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:23:30 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:24:00 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:24:30 UTC,-6666.7568553,-6666.7568553,-6666.7568553
2010-08-16 01:25:00 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:25:30 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:26:00 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:26:30 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:27:00 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:27:30 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:28:00 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:28:30 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:29:00 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:29:30 UTC,-7190.73870011,-7190.73870011,-7190.73870011
2010-08-16 01:30:00 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:30:30 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:31:00 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:31:30 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:32:00 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:32:30 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:33:00 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:33:30 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:34:00 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:34:30 UTC,-12813.118028,-12813.118028,-12813.118028
2010-08-16 01:35:00 UTC,-20875.3429458,-20875.3429458,-20875.3429458
2010-08-16 01:35:30 UTC,-20875.3429458,-20875.3429458,-20875.3429458
2010-08-16 01:36:00 UTC,-20875.3429458,-20875.3429458,-20875.3429458
2010-08-16 01:36:30 UTC,-20875.3429458,-20875.3429458,-20875.3429458
2010-08-16 01:37:00 UTC,-20875.3429458,-20875.3429458,-20875.3429458
2010-08-16 01:37:30 UTC,-20875.3429458,-20875.3429458,-20875.3429458
2010-08-16 01:38:00 UTC,-20875.3429458,-20875.3429458,-20875.3429458
2010-08-16 01:38:30 UTC,-20875.3429458,-20875.3429458,-20875.3429458
