# file...... Output/total_feeder_load_Meter_1.csv
# date...... Mon Mar 26 16:02:46 2018
# user...... yingying
# host...... (null)
# target.... meter 225
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,measured_real_power, measured_power
2010-08-16 01:46:00 UTC,+1372009.38076,+1.37201e+06+538112j
2010-08-16 01:46:30 UTC,+1348012.82958,+1.34801e+06+528418j
2010-08-16 01:47:00 UTC,+1376713.34342,+1.37671e+06+540176j
2010-08-16 01:47:30 UTC,+1320301.61725,+1.3203e+06+517181j
2010-08-16 01:48:00 UTC,+1290405.92493,+1.29041e+06+504912j
2010-08-16 01:48:30 UTC,+1228560.92675,+1.22856e+06+479476j
2010-08-16 01:49:00 UTC,+1067297.06445,+1.0673e+06+414986j
2010-08-16 01:49:30 UTC,+1004859.31551,+1.00486e+06+390062j
2010-08-16 01:50:00 UTC,+967159.968333,+967160+375140j
2010-08-16 01:50:30 UTC,+1266749.16174,+1.26675e+06+494655j
2010-08-16 01:51:00 UTC,+1222113.62308,+1.22211e+06+476631j
2010-08-16 01:51:30 UTC,+1219207.60732,+1.21921e+06+475782j
2010-08-16 01:52:00 UTC,+1202469.34021,+1.20247e+06+468992j
2010-08-16 01:52:30 UTC,+1180561.50842,+1.18056e+06+459946j
2010-08-16 01:53:00 UTC,+1132507.78926,+1.13251e+06+440759j
2010-08-16 01:53:30 UTC,+1060250.52167,+1.06025e+06+412095j
2010-08-16 01:54:00 UTC,+1006084.43808,+1.00608e+06+390811j
2010-08-16 01:54:30 UTC,+952139.86495,+952140+369150j
2010-08-16 01:55:00 UTC,+922711.165765,+922711+357971j
2010-08-16 01:55:30 UTC,+1195856.99005,+1.19586e+06+466658j
2010-08-16 01:56:00 UTC,+1152219.58516,+1.15222e+06+449464j
2010-08-16 01:56:30 UTC,+1150422.83478,+1.15042e+06+448993j
2010-08-16 01:57:00 UTC,+1156087.08901,+1.15609e+06+450947j
2010-08-16 01:57:30 UTC,+1105109.2824,+1.10511e+06+430029j
2010-08-16 01:58:00 UTC,+1077478.80694,+1.07748e+06+418954j
2010-08-16 01:58:30 UTC,+990919.691054,+990920+384910j
2010-08-16 01:59:00 UTC,+920806.248967,+920806+356970j
2010-08-16 01:59:30 UTC,+843575.324231,+843575+326571j
2010-08-16 02:00:00 UTC,+766336.19367,+766336+296142j
