# file...... Output/Qh/house_Qh_file_022.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_9C_tm_2_C_9_Meter_47_421:Qh,house_2_10C_tm_2_C_10_Meter_47_422:Qh,house_2_11C_tm_2_C_11_Meter_47_423:Qh,house_2_12C_tm_2_C_12_Meter_47_424:Qh,house_2_13C_tm_2_C_13_Meter_47_425:Qh,house_2_14C_tm_2_C_14_Meter_47_426:Qh,house_2_15C_tm_2_C_15_Meter_47_427:Qh,house_2_1A_tm_2_A_1_Meter_48_428:Qh,house_2_2A_tm_2_A_2_Meter_48_429:Qh,house_2_3A_tm_2_A_3_Meter_48_430:Qh,house_2_4A_tm_2_A_4_Meter_48_431:Qh,house_2_5A_tm_2_A_5_Meter_48_432:Qh,house_2_6A_tm_2_A_6_Meter_48_433:Qh,house_2_7A_tm_2_A_7_Meter_48_434:Qh,house_2_8A_tm_2_A_8_Meter_48_435:Qh,house_2_9A_tm_2_A_9_Meter_48_436:Qh,house_2_10A_tm_2_A_10_Meter_48_437:Qh,house_2_11A_tm_2_A_11_Meter_48_438:Qh,house_2_12A_tm_2_A_12_Meter_48_439:Qh,house_2_13A_tm_2_A_13_Meter_48_440:Qh
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39028.0909702,+0,+0,+0,+0,-47699.8752072
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39038.1528394,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,-47734.4105368,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39047.4876503,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,-47781.3436419,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,-47762.9473692,+0,+0,+0,+0,+0,-47761.9946525,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,-47734.3440192,+0,+0,+0,+0,+0,-47733.3920349,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,-47750.4387729,+0,+0,+0,+0,+0,-47749.4863764,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,-47694.9378857,+0,+0,+0,+0,+0,-47693.9869106,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,-47722.9263081,+0,+0,+0,+0,+0,-47721.9746162,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,-47757.8965785,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,-47763.7468432,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,-47749.5749908,+0,+0,+0,+0,+0,-21658.9817954,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30321.2697885,+0,+0
2010-08-16 00:52:30 UTC,+0,-47725.8802364,+0,+0,+0,+0,+0,-21659.1299048,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30321.4771307,+0,+0
2010-08-16 00:53:00 UTC,+0,-47788.7688232,+0,+0,+0,+0,+0,-21658.9702996,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30321.2536952,+0,+0
2010-08-16 00:53:30 UTC,+0,-47763.1579928,+0,+0,+0,+0,+0,-21671.1841655,-52006.9546313,+0,+0,+0,+0,+0,+0,+0,+0,-30338.3522075,+0,+0
2010-08-16 00:54:00 UTC,+0,-47726.3196162,+0,+0,+0,+0,+0,-21681.3564943,-52031.3659699,+0,+0,+0,+0,+0,+0,+0,+0,-30352.5927185,+0,+0
2010-08-16 00:54:30 UTC,+0,-47721.589107,+0,+0,-52062.9712828,+0,+0,+0,-52065.1596274,+0,+0,+0,+0,+0,+0,+0,+0,-30372.3064656,+0,+0
2010-08-16 00:55:00 UTC,+0,-47677.3125425,-56342.7300902,+0,-52014.6655695,+0,+0,+0,-52107.1454764,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,-47680.5111347,-56346.5100091,+0,-52018.1552324,+0,+0,+0,-52107.1329444,+0,-39083.4567586,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,-56350.9499467,+0,-52022.2542314,+0,+0,+0,-52072.9857688,+0,-39057.8437894,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,-56386.6789097,+0,-52055.2396026,+0,+0,+0,-52087.2641503,+0,-39068.5536573,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,-56384.3975187,+0,-52053.1333975,+0,+0,+0,-52121.8586242,+0,-39094.5021343,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,-56376.3832825,+0,-52045.7345665,+0,+0,+0,-52147.6291932,+0,-39113.8320134,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,-56376.205854,+0,-52045.5707627,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,-56336.0774951,+0,-52008.5238206,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,-56361.4639975,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34740.1165283,+0,+0,+0,+0
