# file...... Output/Qh/house_Qh_file_044.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13C_tm_3_C_13_Meter_75_861:Qh,house_3_14C_tm_3_C_14_Meter_75_862:Qh,house_3_15C_tm_3_C_15_Meter_75_863:Qh,house_3_1A_tm_3_A_1_Meter_76_864:Qh,house_3_2A_tm_3_A_2_Meter_76_865:Qh,house_3_3A_tm_3_A_3_Meter_76_866:Qh,house_3_4A_tm_3_A_4_Meter_76_867:Qh,house_3_5A_tm_3_A_5_Meter_76_868:Qh,house_3_6A_tm_3_A_6_Meter_76_869:Qh,house_3_7A_tm_3_A_7_Meter_76_870:Qh,house_3_8A_tm_3_A_8_Meter_76_871:Qh,house_3_9A_tm_3_A_9_Meter_76_872:Qh,house_3_10A_tm_3_A_10_Meter_76_873:Qh,house_3_11A_tm_3_A_11_Meter_76_874:Qh,house_3_12A_tm_3_A_12_Meter_76_875:Qh,house_3_13A_tm_3_A_13_Meter_76_876:Qh,house_3_14A_tm_3_A_14_Meter_76_877:Qh,house_3_15A_tm_3_A_15_Meter_76_878:Qh,house_3_16A_tm_3_A_16_Meter_76_879:Qh,house_3_17A_tm_3_A_17_Meter_76_880:Qh
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,-52556.2812048,-56938.9829996,+0,+0,+0,-61321.8580068,+0,-26281.9478843,-13142.2816466,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,-52552.7059061,-56935.1094865,+0,+0,+0,-61317.6862714,+0,-26280.1599126,-13141.3875456,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,-52615.398867,+0,+0,+0,+0,-61390.8377731,+0,+0,-13157.065635,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,-52607.0287409,+0,+0,+0,+0,+0,+0,+0,-13154.9724562,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,-52611.8227375,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,-61204.2597697,+0,+0,-52619.0486283,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,-61263.0318175,+0,-56964.418766,-52578.7390524,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,-61281.6495359,+0,-56967.8475994,-52581.9038288,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,-61285.4275309,+0,-57001.6993735,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,-61323.5675714,+0,-56960.6181152,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43817.4769992,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,-61242.5534494,+0,-56942.4240234,+0,+0,+0,-17523.8269592,+0,+0,+0,+0,+0,-43803.4808875,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,-61262.0031292,+0,-56994.716512,+0,+0,+0,-17539.9205391,+0,+0,+0,+0,+0,-43843.7077658,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,-56961.8948567,+0,+0,+0,-17529.8193193,+0,+0,+0,+0,+0,-43818.4591543,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,-21894.8089673,+0,+0,+0,+0,+0,+0,-17550.5435385,+0,+0,+0,+0,+0,-43870.2605962,+0,+0,+0,-57023.8331316,+0,+0
2010-08-16 00:44:00 UTC,-21880.7546175,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43842.5526391,+0,+0,+0,-56987.8189668,+0,+0
2010-08-16 00:44:30 UTC,-21871.1865052,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43833.2014154,+0,+0,+0,-56975.6644625,+0,+0
2010-08-16 00:45:00 UTC,-21871.9226808,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43835.5051467,+0,+0,+0,-56978.6587992,+0,+0
2010-08-16 00:45:30 UTC,-21894.69695,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43790.6289543,+0,+0,+0,-56920.3297622,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56947.6305499,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56940.1724633,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,-39447.8822707,+0,+0,+0,+0,+0,-43794.4221683,+0,+0,+0,+0,+0,+0,+0,+0,-56922.2589938,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,-39394.4659264,+0,+0,+0,+0,+0,-43794.9727261,+0,+0,+0,+0,+0,+0,+0,+0,-56922.9745482,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,-39371.068786,+0,+0,+0,+0,+0,-43815.2329412,+0,+0,+0,-13145.654043,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,-39379.427283,+0,+0,+0,+0,+0,-43742.218687,+0,+0,+0,-13123.7475543,+0,-52482.5106239,-56854.0837754,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-43804.199002,+0,+0,+0,-13142.343527,+0,-52556.8723414,-56934.6387184,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,-56891.6345856,+0,+0,-43767.5658742,+0,+0,+0,-13131.3524787,+0,-52512.921252,-56887.0271565,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,-56816.0255352,+0,+0,-43709.3970405,+0,+0,+0,+0,+0,-52443.1324145,-56811.4259471,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,-56842.7798129,+0,+0,-43729.9800944,+0,+0,+0,+0,+0,-52467.8272084,-56838.1774498,+0,+0,+0,-21865.4736919
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,-56915.7640551,+0,+0,+0,+0,+0,-26271.2302699,+0,+0,-52535.1932903,-56911.1541245,+0,+0,-26271.9611306,-21893.5490648
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,-56827.5587547,+0,+0,+0,-61201.8551837,+0,-26230.5156535,+0,+0,-52453.777833,-56822.9579706,+0,+0,-26231.2450524,-21859.6184978
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,-56858.525463,+0,+0,+0,-61235.2060266,+0,-26244.8095526,+0,+0,+0,-56853.9214671,+0,+0,-26245.5394649,-21871.5306844
