# file...... Output/Qh/house_Qh_file_013.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_13C_tm_1_C_13_Meter_30_241:Qh,house_1_14C_tm_1_C_14_Meter_30_242:Qh,house_1_15C_tm_1_C_15_Meter_30_243:Qh,house_1_1C_tm_1_C_1_Meter_31_244:Qh,house_1_2C_tm_1_C_2_Meter_31_245:Qh,house_1_3C_tm_1_C_3_Meter_31_246:Qh,house_1_4C_tm_1_C_4_Meter_31_247:Qh,house_1_5C_tm_1_C_5_Meter_31_248:Qh,house_1_6C_tm_1_C_6_Meter_31_249:Qh,house_1_7C_tm_1_C_7_Meter_31_250:Qh,house_1_8C_tm_1_C_8_Meter_31_251:Qh,house_1_1C_tm_1_C_1_Meter_32_252:Qh,house_1_2C_tm_1_C_2_Meter_32_253:Qh,house_1_3C_tm_1_C_3_Meter_32_254:Qh,house_1_4C_tm_1_C_4_Meter_32_255:Qh,house_1_5C_tm_1_C_5_Meter_32_256:Qh,house_1_6C_tm_1_C_6_Meter_32_257:Qh,house_1_7C_tm_1_C_7_Meter_32_258:Qh,house_1_8C_tm_1_C_8_Meter_32_259:Qh,house_1_1A_tm_1_A_1_Meter_33_260:Qh
2010-08-16 00:49:30 UTC,-56351.4027585,-43352.0494641,+0,+0,-56486.7898258,+0,-30420.4969023,-39108.6381916,+0,-56487.4280368,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,-56395.0702249,-43385.6444996,+0,+0,-56535.9653281,+0,-30446.9810285,-39142.6853107,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,-56391.8647285,-43383.1783897,+0,+0,-56535.1298178,+0,+0,-39142.1068373,+0,+0,+0,+0,+0,+0,+0,-13049.6337798,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,-56395.4723088,-43385.9538379,+0,+0,-56542.1836385,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13050.9649057,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,-56420.8581576,-43405.4841322,+0,+0,-56564.151405,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13056.0356943,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,-56406.7281711,-43394.6133988,+0,+0,-56548.6323592,+0,+0,+0,+0,+0,+0,-26102.7129984,+0,+0,+0,-13052.0069785,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,-56393.5085501,-43384.443044,+0,+0,-56535.9020998,+0,+0,+0,+0,+0,+0,-26097.2829669,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26131.8083143,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,-21767.5127086,+0,+0,+0,+0,+0,+0,+0,-26118.9360959,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,-21753.9278637,+0,+0,+0,+0,+0,+0,+0,-26100.7015891,-56540.5819081,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,-21751.8124737,+0,+0,+0,+0,+0,+0,+0,+0,-56537.0186184,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,-21733.1093555,+0,+0,+0,+0,-47805.2416904,+0,+0,+0,-56489.9824227,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-47810.2473481,+0,+0,+0,-56495.1830598,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,-39113.5095503,+0,+0,-47803.8821947,+0,+0,+0,-56488.9471374,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,-39133.4804454,+0,+0,-47828.2901136,+0,+0,+0,-56515.8551534,+0,+0,+0,+0,+0,-26088.7777771,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,-39129.5071314,+0,+0,-47823.4340305,+0,+0,+0,-56510.1174323,+0,+0,+0,+0,+0,-26086.1290068,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,-39119.4201131,+0,+0,-47811.1059339,+0,+0,+0,-56492.3312295,+0,+0,+0,+0,-43460.930317,-26077.9181571,-56669.154244
