# file...... Output/Qh/house_Qh_file_014.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_2A_tm_1_A_2_Meter_33_261:Qh,house_1_3A_tm_1_A_3_Meter_33_262:Qh,house_1_4A_tm_1_A_4_Meter_33_263:Qh,house_1_5A_tm_1_A_5_Meter_33_264:Qh,house_1_6A_tm_1_A_6_Meter_33_265:Qh,house_1_7A_tm_1_A_7_Meter_33_266:Qh,house_1_8A_tm_1_A_8_Meter_33_267:Qh,house_1_9A_tm_1_A_9_Meter_33_268:Qh,house_1_10A_tm_1_A_10_Meter_33_269:Qh,house_1_11A_tm_1_A_11_Meter_33_270:Qh,house_1_12A_tm_1_A_12_Meter_33_271:Qh,house_1_13A_tm_1_A_13_Meter_33_272:Qh,house_1_14A_tm_1_A_14_Meter_33_273:Qh,house_1_15A_tm_1_A_15_Meter_33_274:Qh,house_0_1C_tm_0_C_1_Meter_34_275:Qh,house_0_2C_tm_0_C_2_Meter_34_276:Qh,house_0_3C_tm_0_C_3_Meter_34_277:Qh,house_0_4C_tm_0_C_4_Meter_34_278:Qh,house_0_5C_tm_0_C_5_Meter_34_279:Qh,house_0_6C_tm_0_C_6_Meter_34_280:Qh
2010-08-16 00:33:00 UTC,-47847.1743913,+0,+0,+0,+0,+0,-43500.7874224,-56550.3411859,+0,-43502.5108628,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:33:30 UTC,-47850.2159887,+0,+0,+0,+0,+0,-43503.5527867,-56553.9361051,+0,-43505.2763676,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,-47880.4201677,+0,+0,+0,+0,+0,-43531.0138701,+0,+0,-43532.7388465,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,-47868.9413146,+0,+0,+0,+0,+0,-43520.5775083,+0,+0,-43522.3019545,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,-47876.8385071,+0,+0,+0,+0,+0,-43527.7574902,+0,+0,-43529.4823012,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,-47876.2750261,+0,+0,-21766.8298278,+0,+0,-43527.2451836,+0,+0,-43528.9699686,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,-47892.9353519,+0,+0,-21774.4048652,+0,+0,+0,+0,+0,+0,+0,+0,-34840.1879723,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,-21776.2335559,+0,+0,+0,+0,+0,+0,+0,+0,-34836.674558,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,-21773.6985907,+0,-43544.2746461,+0,+0,+0,+0,+0,+0,-34832.6194159,+0,+0,+0,+0,+0,+0,-60845.9826063
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,-43552.7675045,+0,+0,+0,+0,+0,+0,-34839.4129605,+0,+0,+0,+0,+0,+0,-60834.7786454
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,-43570.5837608,+0,+0,+0,+0,+0,+0,-34853.6644093,+0,+0,+0,+0,+0,+0,-60856.3851901
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,-43565.0459161,+0,+0,+0,+0,+0,+0,-34849.2346172,+0,+0,+0,+0,+0,+0,-60871.7349634
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,-43559.475176,+0,+0,+0,+0,+0,+0,-34844.7785118,+0,+0,+0,+0,+0,+0,-60858.8855356
2010-08-16 00:39:30 UTC,+0,-30497.8810286,+0,+0,+0,-43566.6665859,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60829.1456723
2010-08-16 00:40:00 UTC,+0,-30483.5208585,+0,+0,+0,-43546.1530062,+0,+0,+0,+0,+0,-52253.1597585,+0,+0,+0,+0,+0,+0,+0,-60842.0864265
2010-08-16 00:40:30 UTC,+0,-30483.0160394,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52252.2944426,+0,+0,+0,+0,+0,+0,+0,-60844.2731671
2010-08-16 00:41:00 UTC,+0,-30482.8281851,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52251.9724394,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,-30476.4241694,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52240.9952466,+0,+0,+0,-60852.0570753,+0,+0,-60849.9463764,+0
2010-08-16 00:42:00 UTC,+0,-30465.4654169,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52222.2107291,+0,+0,+0,-60827.5597452,+0,+0,-60825.4500632,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52244.9410115,+0,+0,+0,-60833.5328689,+0,+0,-60831.4229389,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,-39168.4687975,+0,+0,+0,+0,+0,+0,-52223.611919,+0,+0,+0,-60846.1487744,+0,+0,-60844.0383207,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,-39187.028827,+0,+0,+0,+0,+0,-34833.2100937,-52248.3580704,+0,+0,+0,-60859.8211846,+0,+0,-60857.7101635,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,-39194.3490114,+0,+0,+0,+0,+0,-34839.7169972,-52258.1180975,+0,+0,+0,-60833.4942719,+0,+0,-60831.3843435,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,-39181.068543,+0,+0,+0,+0,+0,-34827.9120041,+0,+0,+0,+0,-60825.3305187,+0,+0,-60823.220929,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,-39160.6110672,+0,+0,+0,-47857.3449848,+0,-34809.7273773,+0,+0,-47861.0514507,-26074.5856006,-60830.2779943,+0,+0,-60828.1681994,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,-39151.5850738,+0,+0,+0,-47846.3148093,+0,-34801.7041821,+0,+0,-47850.0201817,-26087.1906601,-60859.6834882,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,-39159.5292099,+0,+0,+0,-47856.0229062,+0,-34808.7657156,+0,+0,-47859.7292409,-26094.573408,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,-43519.1655399,+0,-47867.969728,+0,+0,+0,+0,-47871.6772472,-26095.1454104,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,-43490.6575092,+0,-47836.6134206,+0,+0,+0,+0,-47840.3178317,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,+0,-43486.003338,+0,-47831.4942446,+0,+0,+0,+0,-47835.1981483,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,-43502.9294641,+0,-47850.1114835,+0,+0,+0,+0,-47853.8172325,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,-43473.2994527,+0,-47817.5210965,+0,+0,+0,+0,-47821.2236151,+0,+0,-30434.3690105,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,+0,+0,-43505.9067759,-56556.9962447,-47853.3862627,+0,+0,+0,+0,+0,+0,+0,-30415.6031464,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,-43512.3252465,-56565.3401301,+0,+0,+0,+0,+0,+0,+0,+0,-30421.2196067,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,+0,+0,-43476.9485788,-56519.3511583,+0,+0,+0,+0,+0,+0,+0,+0,-30436.7962798,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56524.7427948,+0,-43482.8184938,+0,+0,+0,+0,+0,+0,-30433.5173369,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56563.239341,+0,-43512.433175,+0,+0,+0,+0,+0,+0,-30431.0792807,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56511.5042629,+0,-43472.6343358,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56504.9669462,+0,-43467.6052989,+0,+0,+0,+0,+0,+0,+0,-39131.5933169,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56508.0140304,+0,-43469.9493644,+0,+0,+0,+0,+0,+0,+0,-39127.743726,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43473.0617075,+0,+0,+0,+0,+0,+0,+0,-39161.7242046,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43485.7118021,+0,+0,-34787.0272105,+0,+0,+0,+0,-39151.4352112,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34803.7779405,+0,+0,+0,+0,-39139.2773191,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34819.0661424,+0,+0,+0,+0,-39129.7074596,+0,+0
