# file...... Output/Qh/house_Qh_file_001.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_0_1A_tm_0_A_1_Meter_1_1:Qh,house_0_2A_tm_0_A_2_Meter_1_2:Qh,house_0_3A_tm_0_A_3_Meter_1_3:Qh,house_0_4A_tm_0_A_4_Meter_1_4:Qh,house_0_5A_tm_0_A_5_Meter_1_5:Qh,house_0_6A_tm_0_A_6_Meter_1_6:Qh,house_0_7A_tm_0_A_7_Meter_1_7:Qh,house_0_8A_tm_0_A_8_Meter_1_8:Qh,house_0_9A_tm_0_A_9_Meter_1_9:Qh,house_0_10A_tm_0_A_10_Meter_1_10:Qh,house_0_11A_tm_0_A_11_Meter_1_11:Qh,house_0_12A_tm_0_A_12_Meter_1_12:Qh,house_0_13A_tm_0_A_13_Meter_1_13:Qh,house_0_14A_tm_0_A_14_Meter_1_14:Qh,house_0_15A_tm_0_A_15_Meter_1_15:Qh,house_0_1B_tm_0_B_1_Meter_2_16:Qh,house_0_2B_tm_0_B_2_Meter_2_17:Qh,house_0_3B_tm_0_B_3_Meter_2_18:Qh,house_0_4B_tm_0_B_4_Meter_2_19:Qh,house_0_5B_tm_0_B_5_Meter_2_20:Qh
2010-08-16 00:34:00 UTC,-43716.0790516,+0,+0,+0,-43715.806257,+0,+0,+0,+0,-48086.171714,+0,+0,+0,+0,+0,+0,-52174.4573781,+0,+0,+0
2010-08-16 00:34:30 UTC,-43714.4761129,+0,+0,+0,-43714.2033347,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52170.9623948,+0,+0,+0
2010-08-16 00:35:00 UTC,-43715.3037555,+0,+0,+0,-43715.0309688,-30600.4355919,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52169.4397892,+0,+0,+0
2010-08-16 00:35:30 UTC,-43712.8703874,+0,+0,+0,-43712.5976257,-30598.7322562,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52163.9303302,-52162.083131,+0,+0,+0
2010-08-16 00:36:00 UTC,-43714.774698,+0,+0,+0,+0,-30600.0652565,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52164.8879671,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,-30601.2414651,+0,+0,+0,+0,+0,+0,+0,+0,-21859.7516401,-52165.2277299,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,+0,+0,-30603.2008913,+0,+0,+0,+0,+0,+0,+0,+0,-21861.1513695,-52158.1254962,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21861.6532722,-52156.870398,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21864.701021,-52146.4398941,+0,+0,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21864.1551827,-52149.9945877,+0,+0,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21864.1942269,-52153.1720477,+0,+0,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,-17491.709891,+0,+0,+0,+0,+0,+0,+0,+0,-52158.656309,+0,+0,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,-17490.1486422,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,-17490.1387833,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,+0,+0,-17490.2972784,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,-21860.7380134,+0,+0,+0,+0,+0,-52456.0540996,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:00 UTC,+0,+0,-21858.5631909,+0,+0,+0,+0,+0,-52450.8357264,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:42:30 UTC,+0,+0,-21860.762249,+0,+0,+0,+0,+0,-52456.1122516,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,-21858.0012083,+0,+0,+0,+0,+0,-52449.4872784,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52460.0103789,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52458.6646835,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-52450.7197048,+0,-34972.9676729,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52452.8128583,-52447.4875154,+0,-34970.812438,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52450.0666373,+0,+0,-34968.9814846,+0,+0,-17485.5774046,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,-52453.3001915,+0,+0,-34971.1373515,+0,-17486.1900307,-17486.6554265,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,-52451.1204146,+0,-48080.5601499,-34969.6840564,+0,-17485.463349,-17485.9287193,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,-30593.2214113,+0,-52443.9449861,+0,-48073.9826102,-34964.9000733,+0,-17483.0712447,-17483.5365315,+0,+0,+0,+0,-52167.2206095,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,+0,-30592.8332064,+0,-52443.2795137,+0,-48073.3725879,-34964.4563912,+0,-17482.8493933,+0,+0,+0,+0,+0,-52168.1335809,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,-30596.4793894,+0,-52449.529909,+0,-48079.1021723,+0,+0,+0,+0,+0,+0,+0,+0,-52156.6172587,+0
2010-08-16 00:48:30 UTC,+0,-17482.4183199,+0,+0,+0,-30591.8645302,+0,+0,+0,-48071.8504175,+0,+0,+0,+0,+0,+0,+0,+0,-52160.9663943,+0
2010-08-16 00:49:00 UTC,+0,-17485.8678182,+0,+0,+0,-30597.9005598,+0,+0,+0,-48081.3353886,+0,+0,+0,+0,+0,+0,+0,+0,-52166.7582973,+0
2010-08-16 00:49:30 UTC,+0,-17485.2019047,+0,+0,+0,+0,+0,+0,+0,-48079.5043485,+0,+0,+0,+0,+0,+0,+0,+0,-52158.699503,+0
2010-08-16 00:50:00 UTC,+0,-17481.5736295,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52158.790631,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52150.6408975,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,+0,+0,-17486.5084483,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52136.8697718,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,-17482.4111862,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,-17482.7898691,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,-43700.8071859,+0,+0,+0,-43700.5345477,+0,-17481.2731298,+0,+0,+0,+0,+0,+0,+0,-21851.9270464,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,-43704.9833594,+0,+0,+0,-43704.7106785,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21854.0153141,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,-43709.7435917,+0,+0,+0,-43709.470862,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21856.3956364,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,-43712.1655906,+0,+0,+0,-43711.8928361,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21857.6067407,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,-43719.252363,+0,+0,+0,-43718.9795359,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21861.150434,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,-43725.124478,+0,+0,+0,-43724.8515908,+0,+0,+0,+0,+0,+0,+0,+0,+0,-21864.0867458,+0,+0,+0,+0,+0
