# file...... Output/Qh/house_Qh_file_039.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_17C_tm_3_C_17_Meter_66_761:Qh,house_3_18C_tm_3_C_18_Meter_66_762:Qh,house_3_19C_tm_3_C_19_Meter_66_763:Qh,house_3_20C_tm_3_C_20_Meter_66_764:Qh,house_3_21C_tm_3_C_21_Meter_66_765:Qh,house_3_22C_tm_3_C_22_Meter_66_766:Qh,house_3_23C_tm_3_C_23_Meter_66_767:Qh,house_3_24C_tm_3_C_24_Meter_66_768:Qh,house_3_25C_tm_3_C_25_Meter_66_769:Qh,house_3_26C_tm_3_C_26_Meter_66_770:Qh,house_3_27C_tm_3_C_27_Meter_66_771:Qh,house_3_28C_tm_3_C_28_Meter_66_772:Qh,house_3_1A_tm_3_A_1_Meter_68_773:Qh,house_3_2A_tm_3_A_2_Meter_68_774:Qh,house_3_3A_tm_3_A_3_Meter_68_775:Qh,house_3_4A_tm_3_A_4_Meter_68_776:Qh,house_3_5A_tm_3_A_5_Meter_68_777:Qh,house_3_6A_tm_3_A_6_Meter_68_778:Qh,house_3_7A_tm_3_A_7_Meter_68_779:Qh,house_3_8A_tm_3_A_8_Meter_68_780:Qh
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,+0,+0,+0,-34586.63175,+0,+0,+0,-47557.7507425,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,+0,+0,+0,-34602.210948,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,-47532.0222064,+0,+0,+0,+0,-34570.584393,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,+0,+0,-47538.7875505,+0,+0,+0,+0,-34575.5049679,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,+0,+0,-47580.8131545,+0,-12979.1314123,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34975.8199123
2010-08-16 00:50:30 UTC,+0,+0,-47579.0211271,+0,-12978.6425586,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34993.0416042
2010-08-16 00:51:00 UTC,+0,+0,-47579.193214,+0,-12978.6895029,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35036.6443503
2010-08-16 00:51:30 UTC,+0,+0,-47600.9972478,+0,-12984.6375038,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34986.0758559
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35004.2122265
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-35011.3046132
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,-38897.2334579,+0,+0,+0,+0,+0,+0,+0,+0,-38898.4375085,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,-38894.2252094,+0,+0,+0,+0,+0,+0,+0,+0,-38895.4291485,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,-38886.5804503,+0,+0,+0,+0,+0,+0,+0,+0,-38887.7841057,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,-38940.3868103,+0,+0,+0,+0,+0,+0,+0,+0,-38941.5924616,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,-47589.3996452,-38934.4309239,+0,+0,+0,+0,+0,+0,+0,+0,-38935.6363543,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,-47602.6339168,-38945.2581167,+0,+0,+0,+0,+0,+0,+0,+0,-38946.4639486,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,-47619.0910062,-38958.721954,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,-47576.0755432,-38923.5302394,+0,-34600.5127431,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43847.9549061,+0
2010-08-16 00:59:00 UTC,-47606.9124886,+0,+0,-34622.9393993,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43817.4070642,+0
2010-08-16 00:59:30 UTC,-47623.7516986,+0,+0,-34635.1859811,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30689.4563502,+0,+0,+0,-43838.5547546,+0
