# file...... Output/Qh/house_Qh_file_037.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_25B_tm_3_B_25_Meter_64_721:Qh,house_3_26B_tm_3_B_26_Meter_64_722:Qh,house_3_27B_tm_3_B_27_Meter_64_723:Qh,house_3_28B_tm_3_B_28_Meter_64_724:Qh,house_3_1A_tm_3_A_1_Meter_65_725:Qh,house_3_2A_tm_3_A_2_Meter_65_726:Qh,house_3_3A_tm_3_A_3_Meter_65_727:Qh,house_3_4A_tm_3_A_4_Meter_65_728:Qh,house_3_5A_tm_3_A_5_Meter_65_729:Qh,house_3_1B_tm_3_B_1_Meter_65_730:Qh,house_3_2B_tm_3_B_2_Meter_65_731:Qh,house_3_3B_tm_3_B_3_Meter_65_732:Qh,house_3_4B_tm_3_B_4_Meter_65_733:Qh,house_3_5B_tm_3_B_5_Meter_65_734:Qh,house_3_1C_tm_3_C_1_Meter_65_735:Qh,house_3_2C_tm_3_C_2_Meter_65_736:Qh,house_3_3C_tm_3_C_3_Meter_65_737:Qh,house_3_4C_tm_3_C_4_Meter_65_738:Qh,house_3_5C_tm_3_C_5_Meter_65_739:Qh,house_3_6C_tm_3_C_6_Meter_65_740:Qh
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,-38961.5650757,+0,+0,-38917.349592,+0,+0,-25946.7958035,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,-43294.4541825,-38966.9069203,+0,+0,-38899.3325364,+0,+0,-25934.7833499,-38995.3709867,+0,-34661.4055952,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,-12981.2363972,+0,+0,+0,+0,-43312.9184395,-38983.5258243,+0,+0,+0,+0,+0,-25960.4651816,-38972.3048162,+0,-34640.9031814,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,-12979.5538611,+0,+0,+0,+0,-43348.5312199,+0,+0,+0,+0,+0,+0,+0,-38946.4522718,+0,-34617.9240936,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,-12995.4627961,+0,+0,+0,+0,-43357.3895868,+0,+0,+0,+0,+0,+0,+0,-38907.081912,+0,-34582.9296678,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,-12983.7899055,+0,+0,+0,+0,-43369.6271681,+0,+0,+0,+0,+0,+0,+0,-38903.1334047,+0,-34579.4200289,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,-43330.107301,+0,+0,+0,+0,+0,-17317.5220144,+0,-38895.4861411,+0,-34572.6227429,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,-47565.6805905,-47568.772712,+0,+0,-43326.5553144,+0,+0,+0,+0,-38920.6737954,-17299.1661201,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,-47518.5841288,-47521.6722884,+0,+0,-43347.2002607,+0,+0,+0,+0,-38882.4206722,-17282.1633602,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,-47510.8713422,-47513.9588529,+0,+0,+0,+0,+0,+0,+0,-38876.1186819,-17279.3622496,+0,+0,-21642.4932382,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,-47557.2629776,-47560.3543911,+0,+0,+0,+0,+0,+0,+0,-38915.1357176,+0,+0,+0,-21649.401733,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,-47575.6540139,-47578.7469742,+0,+0,+0,+0,+0,+0,+0,-38930.2288712,+0,+0,+0,-21629.5241361,+0,+0,+0,+0
