# file...... Output/Qh/house_Qh_file_034.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_3A_tm_3_A_3_Meter_60_661:Qh,house_3_4A_tm_3_A_4_Meter_60_662:Qh,house_3_5A_tm_3_A_5_Meter_60_663:Qh,house_3_6A_tm_3_A_6_Meter_60_664:Qh,house_3_7A_tm_3_A_7_Meter_60_665:Qh,house_3_8A_tm_3_A_8_Meter_60_666:Qh,house_3_1C_tm_3_C_1_Meter_62_667:Qh,house_3_2C_tm_3_C_2_Meter_62_668:Qh,house_3_3C_tm_3_C_3_Meter_62_669:Qh,house_3_4C_tm_3_C_4_Meter_62_670:Qh,house_3_5C_tm_3_C_5_Meter_62_671:Qh,house_3_6C_tm_3_C_6_Meter_62_672:Qh,house_3_7C_tm_3_C_7_Meter_62_673:Qh,house_3_8C_tm_3_C_8_Meter_62_674:Qh,house_3_9C_tm_3_C_9_Meter_62_675:Qh,house_3_10C_tm_3_C_10_Meter_62_676:Qh,house_3_11C_tm_3_C_11_Meter_62_677:Qh,house_3_12C_tm_3_C_12_Meter_62_678:Qh,house_3_13C_tm_3_C_13_Meter_62_679:Qh,house_3_14C_tm_3_C_14_Meter_62_680:Qh
2010-08-16 00:49:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60555.536362,+0,-47579.8906245,-21630.1815202,-51910.1236735,+0
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,-43230.1649714,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60612.3999493,+0,-47624.5694844,-21650.4937487,-51958.87022,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,-43247.6610884,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60609.0608054,+0,-47621.9458521,-21649.3009739,-51956.007725,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,-43294.0670489,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60609.3997616,+0,-47622.2121768,-21649.4220524,-51956.2982967,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,-43237.9437764,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60637.5505354,+0,-47644.3308041,+0,-51980.4306639,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,-43255.1061017,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60651.2819592,+0,-47655.1198591,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,-43260.8127854,+0,+0,+0,+0,+0,+0,+0,+0,+0,-60642.9807739,+0,-47648.5974513,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
