# file...... Output/Qh/house_Qh_file_016.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12A_tm_2_A_12_Meter_35_301:Qh,house_2_13A_tm_2_A_13_Meter_35_302:Qh,house_2_14A_tm_2_A_14_Meter_35_303:Qh,house_2_15A_tm_2_A_15_Meter_35_304:Qh,house_2_1A_tm_2_A_1_Meter_37_305:Qh,house_2_2A_tm_2_A_2_Meter_37_306:Qh,house_2_3A_tm_2_A_3_Meter_37_307:Qh,house_2_4A_tm_2_A_4_Meter_37_308:Qh,house_2_5A_tm_2_A_5_Meter_37_309:Qh,house_2_6A_tm_2_A_6_Meter_37_310:Qh,house_2_7A_tm_2_A_7_Meter_37_311:Qh,house_2_8A_tm_2_A_8_Meter_37_312:Qh,house_2_9A_tm_2_A_9_Meter_37_313:Qh,house_2_10A_tm_2_A_10_Meter_37_314:Qh,house_2_11A_tm_2_A_11_Meter_37_315:Qh,house_2_12A_tm_2_A_12_Meter_37_316:Qh,house_2_13A_tm_2_A_13_Meter_37_317:Qh,house_2_14A_tm_2_A_14_Meter_37_318:Qh,house_2_15A_tm_2_A_15_Meter_37_319:Qh,house_2_1B_tm_2_B_1_Meter_38_320:Qh
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26078.0747928,+0,+0,-43457.9146898,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26089.5186287,+0,-43476.1871871,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47818.3893946,+0,-26088.1584589,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47807.2217364,+0,-26082.0653975,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47781.7068278,+0,-26068.1444929,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,+0,+0,+0,+0,+0,-34752.9936533,+0,+0,+0,+0,-47777.5174299,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,-39080.0638188,+0,+0,+0,+0,+0,-34730.0795055,+0,+0,+0,+0,-47746.0170207,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:30 UTC,-39086.4221868,+0,+0,+0,+0,+0,-34736.103678,+0,+0,+0,+0,-47754.17431,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:00 UTC,-39098.3799044,+0,+0,+0,+0,+0,-34743.4973068,+0,+0,-52105.0109006,+0,-47764.338385,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:01:30 UTC,-39089.930206,+0,+0,+0,+0,+0,-34735.9006594,+0,+0,-52093.6187702,+0,-47753.895219,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:02:00 UTC,-39068.3861398,+0,+0,+0,+0,+0,-34716.753785,+0,+0,-52064.9056191,+0,-47727.573873,+0,+0,+0,+0,+0,+0,+0,-43427.6870727
