# file...... Output/Qh/house_Qh_file_050.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_13A_tm_3_A_13_Meter_82_981:Qh,house_3_14A_tm_3_A_14_Meter_82_982:Qh,house_3_15A_tm_3_A_15_Meter_82_983:Qh,house_3_1C_tm_3_C_1_Meter_83_984:Qh,house_3_2C_tm_3_C_2_Meter_83_985:Qh,house_3_3C_tm_3_C_3_Meter_83_986:Qh,house_3_4C_tm_3_C_4_Meter_83_987:Qh,house_3_5C_tm_3_C_5_Meter_83_988:Qh,house_3_6C_tm_3_C_6_Meter_83_989:Qh,house_3_7C_tm_3_C_7_Meter_83_990:Qh,house_3_8C_tm_3_C_8_Meter_83_991:Qh,house_3_1C_tm_3_C_1_Meter_84_992:Qh,house_3_2C_tm_3_C_2_Meter_84_993:Qh,house_3_3C_tm_3_C_3_Meter_84_994:Qh,house_3_4C_tm_3_C_4_Meter_84_995:Qh,house_3_5C_tm_3_C_5_Meter_84_996:Qh,house_3_6C_tm_3_C_6_Meter_84_997:Qh,house_3_7C_tm_3_C_7_Meter_84_998:Qh,house_3_8C_tm_3_C_8_Meter_84_999:Qh,house_3_1C_tm_3_C_1_Meter_85_1000:Qh
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,-43803.8273826,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26267.8755618
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,-43805.1227423,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26268.5907479
2010-08-16 00:47:00 UTC,+0,-17516.2599872,+0,+0,+0,+0,+0,-43831.7049216,+0,+0,+0,+0,+0,+0,-56954.5685529,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,-17518.2281666,+0,-61276.5582426,+0,+0,+0,-43771.3301615,+0,+0,+0,+0,+0,+0,-56876.2865388,-30628.9322908,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,+0,-17524.5372947,+0,-61250.8879466,+0,+0,+0,-43752.9930986,+0,+0,+0,+0,+0,+0,-56852.5746846,-30616.1626894,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,+0,-17493.7038639,+0,-61263.3308394,+0,+0,+0,+0,+0,-17506.0845492,-26257.4291685,+0,+0,+0,-56864.2911455,-30622.472383,+0,+0,+0,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,-61207.6858438,+0,+0,+0,+0,+0,-17490.183502,-26233.5795506,+0,+0,+0,-56812.3803775,-30594.5167526,+0,+0,+0,+0
2010-08-16 00:49:30 UTC,-56885.9779888,+0,+0,-61211.0835857,+0,+0,+0,+0,+0,-17491.1544366,-26235.0358333,+0,+0,+0,-56810.8668233,-30593.7016545,+0,+0,+0,+0
2010-08-16 00:50:00 UTC,-56809.7749921,+0,+0,-61292.0426311,+0,+0,+0,+0,+0,-17514.2891963,-26269.7351317,+0,+0,+0,-56894.6311864,+0,+0,+0,+0,+0
2010-08-16 00:50:30 UTC,-56829.7460357,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-56902.2816802,+0,+0,+0,+0,+0
2010-08-16 00:51:00 UTC,-56910.562226,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,-56817.4939488,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,-56847.9172923,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,-56868.3772248,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,-56932.3299782,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,-43823.3230874,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,-43790.332392,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,-43737.1747112,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48074.8396943,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,-43739.694406,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48076.2325939,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,-21866.8424383,-43729.1170883,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48065.817178,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,-21902.353261,-43800.1298186,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48150.7439674,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,-21899.3387028,-43794.1014588,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48144.1220478,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,-21914.1490423,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-48184.2554282,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,-21920.9442665,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-61261.1270162,-26258.6316867,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-30658.5528885,+0,+0,-61280.3852171,-26266.8866493,+0,+0,+0,+0,+0,+0,-26264.1877854
