# file...... Output/Qh/house_Qh_file_028.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_12B_tm_2_B_12_Meter_49_541:Qh,house_2_13B_tm_2_B_13_Meter_49_542:Qh,house_2_14B_tm_2_B_14_Meter_49_543:Qh,house_2_15B_tm_2_B_15_Meter_49_544:Qh,house_2_16B_tm_2_B_16_Meter_49_545:Qh,house_2_17B_tm_2_B_17_Meter_49_546:Qh,house_2_18B_tm_2_B_18_Meter_49_547:Qh,house_2_19B_tm_2_B_19_Meter_49_548:Qh,house_2_20B_tm_2_B_20_Meter_49_549:Qh,house_2_21B_tm_2_B_21_Meter_49_550:Qh,house_2_22B_tm_2_B_22_Meter_49_551:Qh,house_2_23B_tm_2_B_23_Meter_49_552:Qh,house_2_24B_tm_2_B_24_Meter_49_553:Qh,house_2_25B_tm_2_B_25_Meter_49_554:Qh,house_2_26B_tm_2_B_26_Meter_49_555:Qh,house_2_27B_tm_2_B_27_Meter_49_556:Qh,house_2_28B_tm_2_B_28_Meter_49_557:Qh,house_2_29B_tm_2_B_29_Meter_49_558:Qh,house_2_1C_tm_2_C_1_Meter_49_559:Qh,house_2_2C_tm_2_C_2_Meter_49_560:Qh
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,-17361.758877,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,-17355.6093188,+0,+0,+0,-56400.5370023,+0,+0,+0,+0,+0,+0,+0,-47718.647136,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,+0,-17349.225947,+0,+0,+0,-56379.7933889,-43368.3070319,+0,+0,+0,+0,+0,+0,-47701.0971035,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,+0,-17350.491017,+0,+0,+0,-56383.9044017,-43371.4692644,+0,+0,+0,+0,+0,+0,-47704.5752058,+0,+0,+0,+0
2010-08-16 00:38:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56331.3750832,-43331.0631837,+0,+0,+0,+0,+0,+0,-47660.1330343,+0,-47665.7491785,+0,+0
2010-08-16 00:38:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56347.0330468,-43343.1074468,+0,+0,+0,+0,+0,+0,-47673.3803772,+0,-47678.9984715,+0,+0
2010-08-16 00:39:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56361.4705891,-43354.2129497,+0,+0,+0,+0,+0,+0,-47685.5951887,+0,-47691.2150811,+0,+0
2010-08-16 00:39:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56380.9091497,-43369.1652864,+0,+0,+0,+0,+0,+0,-47702.0410875,+0,-47707.6634005,+0,+0
2010-08-16 00:40:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56393.5655659,-43378.9007293,+0,+0,+0,+0,+0,+0,+0,+0,-47718.3728753,+0,+0
2010-08-16 00:40:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-43383.0067408,+0,+0,+0,-17355.1836376,+0,+0,+0,+0,-47722.8896936,+0,+0
2010-08-16 00:41:00 UTC,+0,+0,+0,+0,-26034.2144163,+0,+0,+0,-43385.786708,+0,+0,+0,-17356.2957875,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:41:30 UTC,+0,+0,+0,+0,-26037.4169384,+0,+0,+0,+0,+0,+0,+0,-17358.4308234,+0,+0,+0,+0,+0,-43372.4505873,+0
2010-08-16 00:42:00 UTC,+0,+0,+0,+0,-26051.3653284,+0,+0,+0,+0,+0,+0,+0,-17367.7298425,+0,+0,+0,+0,+0,-43349.525211,+0
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,-26042.065761,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43357.707458,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43360.5938168,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26037.0852539,+0,+0,+0,+0,+0,+0,+0,-43357.4971747,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26035.3841094,+0,+0,+0,+0,+0,+0,+0,-43328.6549056,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26045.1082088,+0,+0,+0,+0,+0,+0,+0,-43323.5075185,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26039.0314397,+0,+0,-52070.1621416,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26039.36502,+0,+0,-52070.8291763,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52065.5770753,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52043.1989065,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,-43371.545462,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52039.4726392,+0,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,-43372.6843138,+0,+0,-17349.7872317,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52040.8390529,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:00 UTC,-43343.5182859,+0,+0,-17338.120238,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52005.8451516,+0,+0,+0,+0,+0,+0
2010-08-16 00:48:30 UTC,-43352.6627062,+0,+0,-17341.7781888,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
