# file...... Output/Qh/house_Qh_file_056.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_4B_tm_3_B_4_Meter_95_1101:Qh,house_3_5B_tm_3_B_5_Meter_95_1102:Qh,house_3_6B_tm_3_B_6_Meter_95_1103:Qh,house_3_7B_tm_3_B_7_Meter_95_1104:Qh,house_3_8B_tm_3_B_8_Meter_95_1105:Qh,house_3_1B_tm_3_B_1_Meter_96_1106:Qh,house_3_2B_tm_3_B_2_Meter_96_1107:Qh,house_3_3B_tm_3_B_3_Meter_96_1108:Qh,house_3_4B_tm_3_B_4_Meter_96_1109:Qh,house_3_5B_tm_3_B_5_Meter_96_1110:Qh,house_3_6B_tm_3_B_6_Meter_96_1111:Qh,house_3_7B_tm_3_B_7_Meter_96_1112:Qh,house_3_8B_tm_3_B_8_Meter_96_1113:Qh,house_3_1A_tm_3_A_1_Meter_98_1114:Qh,house_3_2A_tm_3_A_2_Meter_98_1115:Qh,house_3_3A_tm_3_A_3_Meter_98_1116:Qh,house_3_4A_tm_3_A_4_Meter_98_1117:Qh,house_3_5A_tm_3_A_5_Meter_98_1118:Qh,house_3_6A_tm_3_A_6_Meter_98_1119:Qh,house_3_7A_tm_3_A_7_Meter_98_1120:Qh
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-17464.4737101,-52383.5816267,+0,-43653.4487695,-61110.0195586,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-17478.9304369,-52426.9413926,+0,+0,-61160.602086,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-17484.1194322,-52442.504641,+0,+0,-61178.757821,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-17490.1885141,+0,-39347.4059125,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39355.0868773,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39352.2193534,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39356.5794284,+0,+0,+0,+0,+0,+0,+0,-56951.018502,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,-39352.3769157,+0,+0,+0,+0,+0,-39349.5712883,+0,+0,+0,+0,+0,+0,+0,-56942.2337145,+0
2010-08-16 00:47:30 UTC,+0,+0,+0,+0,-39352.1884496,+0,+0,+0,+0,+0,-39349.3828439,+0,+0,-43801.6862374,+0,+0,+0,+0,-56938.0492917,+0
2010-08-16 00:48:00 UTC,+0,+0,+0,+0,-39287.017706,+0,+0,+0,+0,+0,-39284.2196357,+0,+0,-43824.7718747,+0,+0,+0,+0,-56968.0579853,+0
2010-08-16 00:48:30 UTC,+0,+0,+0,+0,-39330.7727833,+0,+0,+0,+0,+0,-39327.9696528,+0,+0,-43754.044426,+0,+0,+0,+0,-56876.1203757,+0
2010-08-16 00:49:00 UTC,+0,+0,+0,+0,-39349.4016933,+0,+0,+0,+0,+0,+0,+0,+0,-43809.6866503,+0,+0,+0,+0,-56948.4489154,+0
2010-08-16 00:49:30 UTC,+0,-21842.4025879,+0,+0,-39313.2556427,+0,+0,+0,+0,+0,+0,+0,+0,-43776.5930061,+0,+0,+0,-48151.4668279,-56905.4309554,+0
2010-08-16 00:50:00 UTC,+0,-21844.5478361,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43720.0180268,+0,+0,+0,-48089.2385963,-56831.8899417,+0
2010-08-16 00:50:30 UTC,+0,-21831.5076808,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43740.6354471,-48113.9948333,+0,+0
2010-08-16 00:51:00 UTC,+0,-21798.5285431,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43795.6943197,-48174.5588289,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43730.6657552,-48103.0283106,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43754.9878134,-48129.7822372,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,+0,-61114.1447929,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43764.4019454,-48140.1376517,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,-61041.5266499,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43813.0758014,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,-60992.3299231,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43823.919272,+0,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,-61060.7730848,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43847.139079,+0,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,-61041.6555679,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,-61149.2401803,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,-61091.5770209,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,-61093.967788,-56731.1356246,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,-61060.0906121,-56699.6773524,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,-56653.8412885,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,-56642.2622223,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,-56719.6437286,+0,+0,+0,+0,+0,+0,+0,-48217.4822725,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,-56742.9730554,+0,+0,+0,+0,+0,+0,+0,-48236.0679663,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,-56779.2722587,+0,+0,+0,-56768.1165914,+0,+0,+0,+0,+0,+0,+0,-48200.143636,+0,+0,+0,+0,+0
