# file...... Output/Qh/house_Qh_file_052.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_7B_tm_3_B_7_Meter_86_1021:Qh,house_3_8B_tm_3_B_8_Meter_86_1022:Qh,house_3_1B_tm_3_B_1_Meter_87_1023:Qh,house_3_2B_tm_3_B_2_Meter_87_1024:Qh,house_3_3B_tm_3_B_3_Meter_87_1025:Qh,house_3_4B_tm_3_B_4_Meter_87_1026:Qh,house_3_5B_tm_3_B_5_Meter_87_1027:Qh,house_3_6B_tm_3_B_6_Meter_87_1028:Qh,house_3_7B_tm_3_B_7_Meter_87_1029:Qh,house_3_8B_tm_3_B_8_Meter_87_1030:Qh,house_3_9B_tm_3_B_9_Meter_87_1031:Qh,house_3_10B_tm_3_B_10_Meter_87_1032:Qh,house_3_11B_tm_3_B_11_Meter_87_1033:Qh,house_3_12B_tm_3_B_12_Meter_87_1034:Qh,house_3_13B_tm_3_B_13_Meter_87_1035:Qh,house_3_14B_tm_3_B_14_Meter_87_1036:Qh,house_3_15B_tm_3_B_15_Meter_87_1037:Qh,house_3_1A_tm_3_A_1_Meter_88_1038:Qh,house_3_2A_tm_3_A_2_Meter_88_1039:Qh,house_3_3A_tm_3_A_3_Meter_88_1040:Qh
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,-30560.4561348,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-26295.7648393
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-30547.9115334,+0,+0,+0,+0,+0,-26289.8689535
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56662.8763609,+0,+0,+0,+0,+0,-30517.8890948,+0,+0,+0,+0,+0,-26299.0045066
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56650.5556493,+0,+0,+0,+0,-43580.8528446,-30511.2529495,+0,+0,+0,+0,+0,-26298.2404503
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56727.3376053,+0,+0,+0,+0,-43639.9214971,-30552.6090201,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,-56751.1667135,+0,+0,+0,+0,-43658.2533211,-30565.4437835,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:00 UTC,+0,+0,+0,+0,+0,+0,+0,-56779.8827529,+0,+0,+0,+0,-43680.3446796,-30580.9107302,+0,+0,+0,+0,+0,+0
2010-08-16 00:59:30 UTC,+0,-21837.9156797,+0,+0,+0,+0,+0,-56751.3706098,+0,+0,+0,+0,-43658.4101795,+0,+0,+0,+0,+0,+0,+0
2010-08-16 01:00:00 UTC,+0,-21851.675217,+0,+0,+0,+0,+0,-56784.4406831,+0,+0,+0,+0,-43683.851113,+0,+0,+0,+0,+0,+0,+0
