# file...... Output/Qh/house_Qh_file_055.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_3_14C_tm_3_C_14_Meter_92_1081:Qh,house_3_15C_tm_3_C_15_Meter_92_1082:Qh,house_3_1A_tm_3_A_1_Meter_94_1083:Qh,house_3_2A_tm_3_A_2_Meter_94_1084:Qh,house_3_3A_tm_3_A_3_Meter_94_1085:Qh,house_3_4A_tm_3_A_4_Meter_94_1086:Qh,house_3_5A_tm_3_A_5_Meter_94_1087:Qh,house_3_6A_tm_3_A_6_Meter_94_1088:Qh,house_3_7A_tm_3_A_7_Meter_94_1089:Qh,house_3_8A_tm_3_A_8_Meter_94_1090:Qh,house_3_9A_tm_3_A_9_Meter_94_1091:Qh,house_3_10A_tm_3_A_10_Meter_94_1092:Qh,house_3_11A_tm_3_A_11_Meter_94_1093:Qh,house_3_12A_tm_3_A_12_Meter_94_1094:Qh,house_3_13A_tm_3_A_13_Meter_94_1095:Qh,house_3_14A_tm_3_A_14_Meter_94_1096:Qh,house_3_15A_tm_3_A_15_Meter_94_1097:Qh,house_3_1B_tm_3_B_1_Meter_95_1098:Qh,house_3_2B_tm_3_B_2_Meter_95_1099:Qh,house_3_3B_tm_3_B_3_Meter_95_1100:Qh
2010-08-16 00:33:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,-21888.055577,+0,+0,+0,+0,+0,-61270.0707853,+0,+0,+0,+0,+0
2010-08-16 00:34:00 UTC,+0,+0,+0,+0,+0,+0,-56882.3219868,+0,-21882.9750425,+0,+0,+0,+0,+0,-61255.8501015,+0,+0,+0,+0,+0
2010-08-16 00:34:30 UTC,+0,+0,+0,+0,+0,+0,-56855.779933,+0,-21872.7635756,+0,+0,+0,+0,+0,-61227.2676679,+0,+0,+0,+0,+0
2010-08-16 00:35:00 UTC,+0,+0,+0,+0,+0,+0,-56879.9663628,+0,+0,+0,+0,+0,+0,+0,-61253.3133926,+0,+0,+0,+0,+0
2010-08-16 00:35:30 UTC,+0,+0,+0,+0,+0,+0,-56865.4455825,+0,+0,+0,+0,+0,+0,+0,-61237.6763495,+0,+0,+0,+0,+0
2010-08-16 00:36:00 UTC,+0,+0,+0,+0,+0,+0,-56873.3420495,+0,+0,+0,+0,+0,+0,+0,-61246.1798454,+0,+0,+0,+0,+0
2010-08-16 00:36:30 UTC,+0,+0,+0,+0,+0,+0,-56878.8094502,+0,+0,+0,+0,+0,+0,+0,-61252.067544,+0,+0,+0,+0,+0
2010-08-16 00:37:00 UTC,+0,+0,-52521.9952784,+0,+0,+0,-56895.2818143,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:37:30 UTC,+0,+0,-52509.8002268,+0,+0,+0,-56882.0714858,+0,+0,+0,+0,+0,+0,+0,+0,-48136.8503176,+0,+0,+0,-21847.0273896
2010-08-16 00:38:00 UTC,+0,+0,-52576.9229304,+0,+0,+0,+0,-21910.0095681,+0,+0,+0,+0,+0,+0,+0,-48198.3840824,+0,+0,+0,-21811.2518652
