# file...... Output/Qh/house_Qh_file_030.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_8C_tm_2_C_8_Meter_50_581:Qh,house_2_9C_tm_2_C_9_Meter_50_582:Qh,house_2_10C_tm_2_C_10_Meter_50_583:Qh,house_2_11C_tm_2_C_11_Meter_50_584:Qh,house_2_12C_tm_2_C_12_Meter_50_585:Qh,house_2_13C_tm_2_C_13_Meter_50_586:Qh,house_2_14C_tm_2_C_14_Meter_50_587:Qh,house_2_15C_tm_2_C_15_Meter_50_588:Qh,house_2_1A_tm_2_A_1_Meter_51_589:Qh,house_2_2A_tm_2_A_2_Meter_51_590:Qh,house_2_3A_tm_2_A_3_Meter_51_591:Qh,house_2_4A_tm_2_A_4_Meter_51_592:Qh,house_2_5A_tm_2_A_5_Meter_51_593:Qh,house_2_6A_tm_2_A_6_Meter_51_594:Qh,house_2_7A_tm_2_A_7_Meter_51_595:Qh,house_2_8A_tm_2_A_8_Meter_51_596:Qh,house_0_1A_tm_0_A_1_Meter_52_597:Qh,house_0_2A_tm_0_A_2_Meter_52_598:Qh,house_0_3A_tm_0_A_3_Meter_52_599:Qh,house_0_4A_tm_0_A_4_Meter_52_600:Qh
2010-08-16 00:50:00 UTC,+0,+0,+0,+0,-34725.3749088,-21705.7594691,+0,-30388.1716922,-25987.9988365,+0,+0,-64955.131635,-51970.9384652,+0,+0,+0,-34721.8088139,+0,+0,+0
2010-08-16 00:50:30 UTC,+0,+0,+0,+0,-34724.1199169,-21704.9749922,+0,-30387.0734148,-25989.4444804,+0,+0,-64958.7447318,-51973.82941,+0,+0,+0,-34729.4775828,+0,+0,+0
2010-08-16 00:51:00 UTC,+0,+0,+0,+0,-34728.3146545,-21707.5970606,+0,-30390.7443434,-26012.3562422,+0,+0,-65016.0080882,-52019.6475006,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:51:30 UTC,+0,+0,+0,+0,-34734.3784868,+0,+0,-30396.0509675,-25992.5108111,+0,+0,-64966.4084112,-51979.9613445,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:00 UTC,+0,+0,+0,+0,-34724.0764458,+0,+0,-30387.035372,-25986.6836206,+0,+0,-64951.8445166,-51968.3083453,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:52:30 UTC,+0,+0,+0,+0,-34708.0240686,+0,+0,+0,+0,+0,-17325.8495678,+0,-51968.6773645,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17327.1088217,+0,-51972.4543184,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:53:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17338.5189313,+0,+0,+0,+0,+0,+0,-43442.1767638,+0,+0
2010-08-16 00:54:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-17346.232184,+0,+0,+0,+0,+0,+0,-43453.9741369,+0,+0
2010-08-16 00:54:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-43477.8815702,+0,+0
2010-08-16 00:55:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39077.8537791,+0,+0,+0,+0,+0,+0,+0,-43493.7832656,+0,+0
2010-08-16 00:55:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39078.7216297,+0,+0,+0,+0,+0,+0,+0,-43499.6408807,+0,+0
2010-08-16 00:56:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39054.0613439,+0,+0,+0,+0,+0,+0,+0,-43475.8415747,+0,+0
2010-08-16 00:56:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39064.0359843,+0,+0,+0,+0,+0,+0,+0,-43478.7139043,+0,+0
2010-08-16 00:57:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,-39090.3485873,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:57:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:58:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52162.3226003,+0,+0,+0,+0,-52181.0306269
2010-08-16 00:58:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52134.6995924,+0,+0,+0,+0,-52178.9357062
