# file...... Output/Qh/house_Qh_file_025.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_2_25B_tm_2_B_25_Meter_48_481:Qh,house_2_26B_tm_2_B_26_Meter_48_482:Qh,house_2_27B_tm_2_B_27_Meter_48_483:Qh,house_2_28B_tm_2_B_28_Meter_48_484:Qh,house_2_29B_tm_2_B_29_Meter_48_485:Qh,house_2_1C_tm_2_C_1_Meter_48_486:Qh,house_2_2C_tm_2_C_2_Meter_48_487:Qh,house_2_3C_tm_2_C_3_Meter_48_488:Qh,house_2_4C_tm_2_C_4_Meter_48_489:Qh,house_2_5C_tm_2_C_5_Meter_48_490:Qh,house_2_6C_tm_2_C_6_Meter_48_491:Qh,house_2_7C_tm_2_C_7_Meter_48_492:Qh,house_2_8C_tm_2_C_8_Meter_48_493:Qh,house_2_9C_tm_2_C_9_Meter_48_494:Qh,house_2_10C_tm_2_C_10_Meter_48_495:Qh,house_2_11C_tm_2_C_11_Meter_48_496:Qh,house_2_12C_tm_2_C_12_Meter_48_497:Qh,house_2_13C_tm_2_C_13_Meter_48_498:Qh,house_2_14C_tm_2_C_14_Meter_48_499:Qh,house_2_15C_tm_2_C_15_Meter_48_500:Qh
2010-08-16 00:43:00 UTC,-47761.6947279,+0,+0,+0,-30396.6877097,-52032.8949689,+0,-47699.3589682,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,-30379.0529989,-52031.7508156,+0,-47698.3100937,+0,-21683.2262376,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,-30376.6880163,+0,+0,-47671.058106,+0,-21670.8373556,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,-30388.088654,+0,+0,+0,+0,-21668.6316972,+0,+0,+0,+0,-34668.9670499,+0,+0,+0,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,-30381.9970948,+0,+0,+0,+0,-21672.8337254,+0,+0,+0,+0,-34675.6900948,+0,+0,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34703.1948518,+0,+0,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34715.4406554,+0,+0,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34716.5725629,+0,+0,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,-52043.0481619,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34751.0280335,+0,+0,+0,+0,+0
2010-08-16 00:47:30 UTC,+0,-52044.3584244,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-34738.2630017,+0,+0,-13028.0574161,+0,+0
2010-08-16 00:48:00 UTC,+0,-52008.7387226,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13020.4733482,+0,+0
2010-08-16 00:48:30 UTC,+0,-52018.0098107,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-13024.8885449,+0,+0
2010-08-16 00:49:00 UTC,+0,-52062.6944449,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65029.388957,+0,+0,+0,-13009.4774149,+0,+0
2010-08-16 00:49:30 UTC,+0,-52005.1397371,+0,-39008.1137558,+0,+0,+0,+0,+0,+0,+0,+0,+0,-65069.3335736,+0,+0,+0,+0,+0,+0
