# file...... Output/Qh/house_Qh_file_011.csv
# date...... Fri Mar 23 10:19:36 2018
# user...... yingying
# host...... (null)
# trigger... (none)
# interval.. 30
# limit..... 0
# timestamp,house_1_3A_tm_1_A_3_Meter_28_201:Qh,house_1_4A_tm_1_A_4_Meter_28_202:Qh,house_1_5A_tm_1_A_5_Meter_28_203:Qh,house_1_6A_tm_1_A_6_Meter_28_204:Qh,house_1_7A_tm_1_A_7_Meter_28_205:Qh,house_1_8A_tm_1_A_8_Meter_28_206:Qh,house_1_9A_tm_1_A_9_Meter_28_207:Qh,house_1_10A_tm_1_A_10_Meter_28_208:Qh,house_1_11A_tm_1_A_11_Meter_28_209:Qh,house_1_12A_tm_1_A_12_Meter_28_210:Qh,house_1_13A_tm_1_A_13_Meter_28_211:Qh,house_1_14A_tm_1_A_14_Meter_28_212:Qh,house_1_15A_tm_1_A_15_Meter_28_213:Qh,house_1_1A_tm_1_A_1_Meter_29_214:Qh,house_1_2A_tm_1_A_2_Meter_29_215:Qh,house_1_3A_tm_1_A_3_Meter_29_216:Qh,house_1_4A_tm_1_A_4_Meter_29_217:Qh,house_1_5A_tm_1_A_5_Meter_29_218:Qh,house_1_6A_tm_1_A_6_Meter_29_219:Qh,house_1_7A_tm_1_A_7_Meter_29_220:Qh
2010-08-16 00:42:30 UTC,+0,+0,+0,+0,-43443.3743635,-43445.3423209,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47787.4598696,+0,+0
2010-08-16 00:43:00 UTC,+0,+0,+0,+0,-43423.7456044,-43425.7123496,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47765.5400383,+0,+0
2010-08-16 00:43:30 UTC,+0,+0,+0,+0,-43447.9314086,-43449.8996475,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47792.1443513,+0,+0
2010-08-16 00:44:00 UTC,+0,+0,+0,+0,-43456.8825185,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-47801.4884155,+0,+0
2010-08-16 00:44:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52112.8778034,+0,+0,-60802.6008394,-47775.0863296,+0,+0
2010-08-16 00:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52099.4150079,+0,+0,-60786.8927427,+0,+0,+0
2010-08-16 00:45:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52085.9989,+0,+0,-60771.2391195,+0,+0,+0
2010-08-16 00:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52096.4363379,+0,+0,-60783.4172951,+0,+0,+0
2010-08-16 00:46:30 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52105.7943736,+0,+0,-60794.3360481,+0,+0,+0
2010-08-16 00:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0,-52068.7844886,+0,+0,-60751.1537187,+0,+0,-47733.8772409
