$state_name=Hawaii
$city_name=Oahu
$lat_deg=21
$lat_min=28
$long_deg=-157
$long_min=59
$timezone_offset=-8
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
08:15:5:14:18,75,0.64,8.1,0,0,0
08:15:5:14:21,75,0.64,8.1,0,0,0
08:15:5:14:24,75,0.64,8.1,0,0,0
08:15:5:14:27,75,0.64,8.1,0,0,0
08:15:5:14:30,75,0.64,8.1,0,0,0
08:15:5:14:33,75,0.64,8.1,0,0,0
08:15:5:14:36,75,0.64,8.1,0,0,0
08:15:5:14:39,75,0.64,8.1,0,0,0
08:15:5:14:42,75,0.64,8.1,0,0,0
08:15:5:14:45,75,0.64,8.1,0,0,0
08:15:5:14:48,75,0.64,8.1,0,0,0
08:15:5:14:51,75,0.64,8.1,0,0,0
08:15:5:14:54,75,0.64,8.1,0,0,0
08:15:5:14:57,75,0.64,8.1,0,0,0
08:15:5:15:0,75,0.64,8.1,0,0,0
08:15:5:15:3,75,0.64,8.1,0,0,0
08:15:5:15:6,75,0.64,8.1,0,0,0
08:15:5:15:9,75,0.64,8.1,0,0,0
08:15:5:15:12,75,0.64,8.1,0,0,0
08:15:5:15:15,75,0.64,8.1,0,0,0
08:15:5:15:18,75,0.64,8.1,0,0,0
08:15:5:15:21,75,0.64,8.1,0,0,0
08:15:5:15:24,75,0.64,8.1,0,0,0
08:15:5:15:27,75,0.64,8.1,0,0,0
08:15:5:15:30,75,0.64,8.1,0,0,0
08:15:5:15:33,75,0.64,8.1,0,0,0
08:15:5:15:36,75,0.64,8.1,0,0,0
08:15:5:15:39,75,0.64,8.1,0,0,0
08:15:5:15:42,75,0.64,8.1,0,0,0
08:15:5:15:45,75,0.64,8.1,0,0,0
08:15:5:15:48,75,0.64,8.1,0,0,0
08:15:5:15:51,75,0.64,8.1,0,0,0
08:15:5:15:54,75,0.64,8.1,0,0,0
08:15:5:15:57,75,0.64,8.1,0,0,0
08:15:5:16:0,75,0.64,8.1,0,0,0
08:15:5:16:3,75,0.64,8.1,0,0,0
08:15:5:16:6,75,0.64,8.1,0,0,0
08:15:5:16:9,75,0.64,8.1,0,0,0
08:15:5:16:12,75,0.64,8.1,0,0,0
08:15:5:16:15,75,0.64,8.1,0,0,0
08:15:5:16:18,75,0.64,8.1,0,0,0
08:15:5:16:21,75,0.64,8.1,0,0,0
08:15:5:16:24,75,0.64,8.1,0,0,0
08:15:5:16:27,75,0.64,8.1,0,0,0
08:15:5:16:30,75,0.64,8.1,0,0,0
08:15:5:16:33,75,0.64,8.1,0,0,0
08:15:5:16:36,75,0.64,8.1,0,0,0
08:15:5:16:39,75,0.64,8.1,0,0,0
08:15:5:16:42,75,0.64,8.1,0,0,0
08:15:5:16:45,75,0.64,8.1,0,0,0
08:15:5:16:48,75,0.64,8.1,0,0,0
08:15:5:16:51,75,0.64,8.1,0,0,0
08:15:5:16:54,75,0.64,8.1,0,0,0
08:15:5:16:57,75,0.64,8.1,0,0,0
08:15:5:17:0,75,0.64,8.1,0,0,0
08:15:5:17:3,75,0.64,8.1,0,0,0
08:15:5:17:6,75,0.64,8.1,0,0,0
08:15:5:17:9,75,0.64,8.1,0,0,0
08:15:5:17:12,75,0.64,8.1,0,0,0
08:15:5:17:15,75,0.64,8.1,0,0,0
08:15:5:17:18,75,0.64,8.1,0,0,0
08:15:5:17:21,75,0.64,8.1,0,0,0
08:15:5:17:24,75,0.64,8.1,0,0,0
08:15:5:17:27,75,0.64,8.1,0,0,0
08:15:5:17:30,75,0.64,8.1,0,0,0
08:15:5:17:33,75,0.64,8.1,0,0,0
08:15:5:17:36,75,0.64,8.1,0,0,0
08:15:5:17:39,75,0.64,8.1,0,0,0
08:15:5:17:42,75,0.64,8.1,0,0,0
08:15:5:17:45,75,0.64,8.1,0,0,0
08:15:5:17:48,75,0.64,8.1,0,0,0
08:15:5:17:51,75,0.64,8.1,0,0,0
08:15:5:17:54,75,0.64,8.1,0,0,0
08:15:5:17:57,75,0.64,8.1,0,0,0
08:15:5:18:0,75,0.64,8.1,0,0,0
08:15:5:18:3,75,0.64,8.1,0,0,0
08:15:5:18:6,75,0.64,8.1,0,0,0
08:15:5:18:9,75,0.64,8.1,0,0,0
08:15:5:18:12,75,0.64,8.1,0,0,0
08:15:5:18:15,75,0.64,8.1,0,0,0
08:15:5:18:18,75,0.64,8.1,0,0,0
08:15:5:18:21,75,0.64,8.1,0,0,0
08:15:5:18:24,75,0.64,8.1,0,0,0
08:15:5:18:27,75,0.64,8.1,0,0,0
08:15:5:18:30,75,0.64,8.1,0,0,0
08:15:5:18:33,75,0.64,8.1,0,0,0
08:15:5:18:36,75,0.64,8.1,0,0,0
08:15:5:18:39,75,0.64,8.1,0,0,0
08:15:5:18:42,75,0.64,8.1,0,0,0
08:15:5:18:45,75,0.64,8.1,0,0,0
08:15:5:18:48,75,0.64,8.1,0,0,0
08:15:5:18:51,75,0.64,8.1,0,0,0
08:15:5:18:54,75,0.64,8.1,0,0,0
08:15:5:18:57,75,0.64,8.1,0,0,0
08:15:5:19:0,75,0.64,8.1,0,0,0
08:15:5:19:3,75,0.64,8.1,0,0,0
08:15:5:19:6,75,0.64,8.1,0,0,0
08:15:5:19:9,75,0.64,8.1,0,0,0
08:15:5:19:12,75,0.64,8.1,0,0,0
08:15:5:19:15,75,0.64,8.1,0,0,0
08:15:5:19:18,75,0.64,8.1,0,0,0
08:15:5:19:21,75,0.64,8.1,0,0,0
08:15:5:19:24,75,0.64,8.1,0,0,0
08:15:5:19:27,75,0.64,8.1,0,0,0
08:15:5:19:30,75,0.64,8.1,0,0,0
08:15:5:19:33,75,0.64,8.1,0,0,0
08:15:5:19:36,75,0.64,8.1,0,0,0
08:15:5:19:39,75,0.64,8.1,0,0,0
08:15:5:19:42,75,0.64,8.1,0,0,0
08:15:5:19:45,75,0.64,8.1,0,0,0
08:15:5:19:48,75,0.64,8.1,0,0,0
08:15:5:19:51,75,0.64,8.1,0,0,0
08:15:5:19:54,75,0.64,8.1,0,0,0
08:15:5:19:57,75,0.64,8.1,0,0,0
08:15:5:20:0,75,0.64,8.1,0,0,0
08:15:5:20:3,75,0.64,8.1,0,0,0
08:15:5:20:6,75,0.64,8.1,0,0,0
08:15:5:20:9,75,0.64,8.1,0,0,0
08:15:5:20:12,75,0.64,8.1,0,0,0
08:15:5:20:15,75,0.64,8.1,0,0,0
08:15:5:20:18,75,0.64,8.1,0,0,0
08:15:5:20:21,75,0.64,8.1,0,0,0
08:15:5:20:24,75,0.64,8.1,0,0,0
08:15:5:20:27,75,0.64,8.1,0,0,0
08:15:5:20:30,75,0.64,8.1,0,0,0
08:15:5:20:33,75,0.64,8.1,0,0,0
08:15:5:20:36,75,0.64,8.1,0,0,0
08:15:5:20:39,75,0.64,8.1,0,0,0
08:15:5:20:42,75,0.64,8.1,0,0,0
08:15:5:20:45,75,0.64,8.1,0,0,0
08:15:5:20:48,75,0.64,8.1,0,0,0
08:15:5:20:51,75,0.64,8.1,0,0,0
08:15:5:20:54,75,0.64,8.1,0,0,0
08:15:5:20:57,75,0.64,8.1,0,0,0
08:15:5:21:0,75,0.64,8.1,0,0,0
08:15:5:21:3,75,0.64,8.1,0,0,0
08:15:5:21:6,75,0.64,8.1,0,0,0
08:15:5:21:9,75,0.64,8.1,0,0,0
08:15:5:21:12,75,0.64,8.1,0,0,0
08:15:5:21:15,75,0.64,8.1,0,0,0
08:15:5:21:18,75,0.64,8.1,0,0,0
08:15:5:21:21,75,0.64,8.1,0,0,0
08:15:5:21:24,75,0.64,8.1,0,0,0
08:15:5:21:27,75,0.64,8.1,0,0,0
08:15:5:21:30,75,0.64,8.1,0,0,0
08:15:5:21:33,75,0.64,8.1,0,0,0
08:15:5:21:36,75,0.64,8.1,0,0,0
08:15:5:21:39,75,0.64,8.1,0,0,0
08:15:5:21:42,75,0.64,8.1,0,0,0
08:15:5:21:45,75,0.64,8.1,0,0,0
08:15:5:21:48,75,0.64,8.1,0,0,0
08:15:5:21:51,75,0.64,8.1,0,0,0
08:15:5:21:54,75,0.64,8.1,0,0,0
08:15:5:21:57,75,0.64,8.1,0,0,0
08:15:5:22:0,75,0.64,8.1,0,0,0
08:15:5:22:3,75,0.64,8.1,0,0,0
08:15:5:22:6,75,0.64,8.1,0,0,0
08:15:5:22:9,75,0.64,8.1,0,0,0
08:15:5:22:12,75,0.64,8.1,0,0,0
08:15:5:22:15,75,0.64,8.1,0,0,0
08:15:5:22:18,75,0.64,8.1,0,0,0
08:15:5:22:21,75,0.64,8.1,0,0,0
08:15:5:22:24,75,0.64,8.1,0,0,0
08:15:5:22:27,75,0.64,8.1,0,0,0
08:15:5:22:30,75,0.64,8.1,0,0,0
08:15:5:22:33,75,0.64,8.1,0,0,0
08:15:5:22:36,75,0.64,8.1,0,0,0
08:15:5:22:39,75,0.64,8.1,0,0,0
08:15:5:22:42,75,0.64,8.1,0,0,0
08:15:5:22:45,75,0.64,8.1,0,0,0
08:15:5:22:48,75,0.64,8.1,0,0,0
08:15:5:22:51,75,0.64,8.1,0,0,0
08:15:5:22:54,75,0.64,8.1,0,0,0
08:15:5:22:57,75,0.64,8.1,0,0,0
08:15:5:23:0,75,0.64,8.1,0,0,0
08:15:5:23:3,75,0.64,8.1,0,0,0
08:15:5:23:6,75,0.64,8.1,0,0,0
08:15:5:23:9,75,0.64,8.1,0,0,0
08:15:5:23:12,75,0.64,8.1,0,0,0
08:15:5:23:15,75,0.64,8.1,0,0,0
08:15:5:23:18,75,0.64,8.1,0,0,0
08:15:5:23:21,75,0.64,8.1,0,0,0
08:15:5:23:24,75,0.64,8.1,0,0,0
08:15:5:23:27,75,0.64,8.1,0,0,0
08:15:5:23:30,75,0.64,8.1,0,0,0
08:15:5:23:33,75,0.64,8.1,0,0,0
08:15:5:23:36,75,0.64,8.1,0,0,0
08:15:5:23:39,75,0.64,8.1,0,0,0
