Cleared_time,market_id,ACOPF_solved,cleared_price_18,cleared_price_57,cleared_quantity_18 (kW),cleared_quantity_57 (kW),DG_7_output (kW),DG_152_output (kW),DG_18_output (kW),DG_57_output (kW),DG_56_output (kW),social_welfare ($),planned_SubstationP (kW),expected_SubstationP (kW),total_uncontrollable_loads (kW)
2018-01-27-21:22:47,11,True,35.227791952,29.6800204507,35.7016905372,54.5974238583,50.0000775523,30.0001056228,20.0001601343,20.0000767728,40.0000637795,2.98946811026,1716.070728,1716.070728,1166.009291670919
2018-01-27-21:27:47,12,True,32.9854967435,29.1733259056,30.8892701152,74.65456072,50.0004333343,30.0005876996,20.0005022987,20.000427886,40.0003468598,2.39436545759,1625.345501,1625.345501,1146.3549484247055
2018-01-27-21:32:47,13,True,35.0759403031,28.0351963818,36.8266919692,75.8190053814,50.0075835295,30.0042042967,20.4979359698,20.0090471966,40.0840349639,14.6263967152,1712.277704,1712.277704,1110.6969496335566
2018-01-27-21:37:47,14,True,32.9253807852,27.8468370542,36.7605398561,74.9958198568,59.1262124049,30.1607198494,30.9244730403,20.5366038366,48.8321442537,20.126379034,1545.254232,1545.254232,1109.2153916186223
2018-01-27-21:42:47,15,True,33.2185403158,28.4059817108,29.4095679575,84.4544187858,59.0533554778,30.1570571504,30.9856173539,20.5176098077,48.7706303512,20.1117140539,1490.039007,1490.039007,1056.0075143148672
2018-01-27-21:47:47,16,True,33.3115088158,28.4162655702,37.1949526849,92.7394261874,50.0,30.0,20.0,20.0,40.0,1.47392735141,1428.889787,1428.889787,1022.4395269697757
2018-01-27-21:52:47,17,True,32.8295250911,28.2395618019,34.6163958193,78.6741029097,50.0,30.0,20.0,20.0,40.0,2.28618104476,1368.556267,1368.556267,1007.58884412035
2018-01-27-21:57:47,18,True,32.9664100263,25.7439559387,36.3235230735,78.1568096451,50.0001134201,30.0001546116,20.0001339712,20.0001123837,40.0000907349,2.33813664177,1253.882019,1253.882019,988.7282904649642
2018-01-27-22:02:47,19,True,32.6545424618,25.7543267857,31.7746449856,80.7226221753,50.0,30.0,20.0,20.0,40.0,2.51121279923,1200.40556,1200.40556,1005.7834062902464
2018-01-27-22:07:47,20,True,32.2672786132,25.3369705566,34.3104217872,55.8639842869,50.0,30.0,20.0001384035,20.0,40.0,3.35410462483,1081.219863,1081.219863,957.5032596154941
2018-01-27-22:12:47,21,True,32.4410829288,26.0869598681,29.0542017863,50.3645095408,50.4455377388,30.4559787152,21.8663909624,20.3958692575,40.8213592808,16.6414472442,1031.642093,1031.642093,955.4303672268858
2018-01-27-22:17:47,22,True,31.7888141455,24.7662887207,32.4783560649,46.5338680699,50.5330154804,30.4500796809,21.9506987679,20.0188239312,40.8416564359,18.6527949912,1040.612615,1040.612615,956.7931319608197
2018-01-27-22:22:47,23,True,30.9087995221,25.9173943843,35.3512068971,44.8236100543,50.0614499708,30.0027561371,20.2407039484,20.0336819399,40.0999471096,20.0174760665,1053.660179,1053.660179,951.4769345566091
2018-01-27-22:27:47,24,True,30.4406953673,24.958025937,33.9797938032,41.1041826031,50.0,30.0,20.0,20.0,40.0,3.99381162203,1013.746884,1013.746884,956.3272763090442
2018-01-27-22:32:47,25,True,28.7754432526,24.7644271522,26.8321425625,41.3636716109,50.0000556266,30.0003876371,20.0000645068,20.0001235116,40.0,4.36940274935,976.308154,976.308154,933.2166498190252
2018-01-27-22:37:47,26,True,29.4333513509,25.3829429493,23.9086029473,35.9543938512,50.7382945646,30.4811062241,22.0285717122,20.0193612529,40.9571507152,19.8134335185,972.850165,972.850165,908.8261356009901
